_r ( arcsec ),_RAJ2000 ( "h:m:s" ),_DEJ2000 ( "d:m:s" ),RAJ2000 ( deg ),DEJ2000 ( deg ),2MASS,Jmag ( mag ),e_Jmag ( mag ),Hmag ( mag ),e_Hmag ( mag ),Kmag ( mag ),e_Kmag ( mag ),Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
110.136,17 53 42.12792,-34 47 49.6572,268.425533,-34.797127,17534212-3447496,14.202,0.045,13.602,0.052,13.333,0.054,ABA,222,111,ccc,0,0
110.415,17 53 57.23352,-34 48 55.3536,268.488473,-34.815376,17535723-3448553,14.267,0.058,13.841,0.094,12.81,,ACU,226,220,cc0,0,0
110.481,17 53 59.86464,-34 47 19.2228,268.499436,-34.788673,17535986-3447192,14.289,0.056,13.593,0.066,13.292,0.23,ABE,222,111,ccc,0,0
110.502,17 53 56.54208,-34 46 09.1164,268.485592,-34.769199,17535654-3446091,14.117,0.065,13.362,0.07,13.163,0.06,AAA,222,221,cc0,0,0
110.508,17 53 59.91528,-34 47 23.7156,268.499647,-34.789921,17535991-3447237,12.424,0.039,11.66,0.047,11.525,0.037,AAA,222,111,000,0,0
110.933,17 53 42.00072,-34 47 40.1676,268.425003,-34.794491,17534200-3447401,9.689,0.026,8.561,0.033,8.084,0.026,AAA,211,111,ddd,0,0
111.169,17 53 43.60992,-34 48 39.8232,268.431708,-34.811062,17534360-3448398,14.266,0.043,13.536,0.045,13.25,0.045,ABA,222,111,cc0,0,0
111.203,17 53 48.79056,-34 49 23.8224,268.453294,-34.823284,17534879-3449238,14.021,0.041,13.247,0.042,13.014,0.036,AAA,222,111,ss0,0,0
111.368,17 53 41.95992,-34 47 34.4832,268.424833,-34.792912,17534195-3447344,13.919,0.114,13.065,0.137,12.792,0.241,BBD,222,111,ccc,0,0
111.436,17 53 45.52872,-34 46 07.2624,268.439703,-34.768684,17534552-3446072,14.873,0.043,14.022,,14.426,,CUU,200,100,c00,0,0
111.524,17 53 55.65720,-34 46 00.3684,268.481905,-34.766769,17535565-3446003,14.361,0.065,13.596,0.066,13.348,0.057,ABA,222,111,000,0,0
111.674,17 53 47.12664,-34 49 16.9716,268.446361,-34.821381,17534712-3449169,14.76,0.037,13.983,0.022,13.84,0.055,BEC,222,111,000,0,0
112.263,17 53 58.84344,-34 46 38.8488,268.495181,-34.777458,17535884-3446388,11.446,0.04,10.466,0.055,10.134,0.037,EEE,222,111,000,0,0
112.343,17 53 42.38904,-34 46 59.0088,268.426621,-34.783058,17534238-3446590,14.59,0.04,13.756,0.029,13.581,0.044,BBB,222,111,c0c,0,0
112.351,17 53 59.31312,-34 46 49.7964,268.497138,-34.780499,17535931-3446497,13.977,0.039,13.544,0.045,13.401,0.043,ABB,222,111,000,0,0
112.45,17 53 45.73488,-34 46 04.1448,268.440562,-34.767818,17534573-3446041,14.636,0.075,13.848,0.096,13.629,0.072,BCB,222,111,c00,0,0
112.586,17 53 49.84392,-34 49 27.6816,268.457683,-34.824356,17534984-3449276,14.977,0.057,14.149,,13.71,,CUU,200,100,c00,0,0
112.664,17 53 43.31928,-34 48 37.1844,268.430497,-34.810329,17534331-3448371,14.135,0.087,13.395,0.101,13.167,0.08,AAA,222,111,000,0,0
113.254,17 54 00.17040,-34 47 44.1348,268.50071,-34.795593,17540017-3447441,12.268,0.049,11.364,0.051,11.111,0.037,AAA,222,111,000,0,0
113.484,17 53 41.92848,-34 47 16.2312,268.424702,-34.787842,17534192-3447162,13.814,0.022,12.95,0.023,12.718,0.023,AAA,222,111,000,0,0
113.599,17 53 53.85312,-34 49 24.0276,268.474388,-34.823341,17535385-3449240,11.94,0.029,10.987,0.041,10.663,0.03,AAA,222,111,cc0,0,0
113.606,17 53 59.78856,-34 48 10.4616,268.499119,-34.802906,17535978-3448104,13.995,0.026,13.463,0.062,13.347,0.059,ABA,222,111,ccc,0,0
113.782,17 53 55.02072,-34 49 18.4404,268.479253,-34.821789,17535502-3449184,11.958,,10.974,,12.335,0.127,UUE,002,001,00p,0,0
113.994,17 53 58.71480,-34 48 38.9700,268.494645,-34.810825,17535871-3448389,10.809,0.023,9.808,0.023,9.526,0.021,AAA,222,111,000,0,0
114.038,17 53 44.68872,-34 46 12.5796,268.436203,-34.770161,17534468-3446125,14.159,0.072,13.437,0.073,13.167,0.054,AAA,222,111,ccc,0,0
114.062,17 53 44.04912,-34 46 20.6544,268.433538,-34.772404,17534404-3446206,14.778,0.117,14.128,0.106,13.956,0.084,BCC,222,111,ccc,0,0
114.21,17 53 49.19568,-34 45 43.9740,268.454982,-34.762215,17534919-3445439,13.704,0.044,12.909,0.047,12.759,0.039,AAA,222,111,000,0,0
114.231,17 54 00.27072,-34 47 38.7384,268.501128,-34.794094,17540027-3447387,13.05,0.054,12.172,0.066,11.877,0.043,EEE,222,111,ccc,0,0
114.314,17 53 49.40544,-34 49 28.6140,268.455856,-34.824615,17534940-3449286,13.255,0.057,12.374,0.065,12.15,0.055,AAA,222,111,000,0,0
114.342,17 53 47.32776,-34 45 50.9904,268.447199,-34.764164,17534732-3445509,13.782,0.039,12.959,0.051,12.702,0.042,AAA,222,111,000,0,0
114.436,17 53 58.52088,-34 46 28.8372,268.493837,-34.774677,17535852-3446288,12.689,0.022,12.438,0.027,12.355,0.019,AAA,222,111,000,0,0
114.858,17 53 59.62488,-34 48 19.6632,268.498437,-34.805462,17535962-3448196,14.728,0.088,13.993,0.061,13.928,0.07,BCC,222,111,000,0,0
114.884,17 53 42.82344,-34 46 40.7568,268.428431,-34.777988,17534282-3446407,12.134,0.053,11.42,0.065,11.092,0.041,EEE,222,111,000,0,0
115.296,17 53 50.79096,-34 49 31.2672,268.461629,-34.825352,17535079-3449312,13.494,0.03,12.802,0.031,12.586,0.032,AAA,222,111,000,0,0
115.321,17 53 59.98320,-34 47 03.5556,268.49993,-34.784321,17535998-3447035,13.542,0.039,12.907,0.047,12.681,0.042,AAA,222,111,000,0,0
115.627,17 53 41.99520,-34 47 03.3756,268.42498,-34.784271,17534199-3447033,14.349,0.052,13.505,0.07,13.347,0.051,ABA,222,111,000,0,0
115.879,17 53 59.53824,-34 48 24.6600,268.498076,-34.80685,17535953-3448246,14.694,0.058,14.001,0.079,13.762,0.073,BCB,222,111,000,0,0
115.978,17 53 56.27232,-34 45 59.9184,268.484468,-34.766644,17535627-3445599,14.435,0.095,14,0.124,13.797,0.093,BCC,222,111,000,0,0
116.049,17 53 55.10280,-34 49 20.4708,268.479595,-34.822353,17535510-3449204,12.922,0.086,12.064,0.122,9.669,,ABU,220,110,pp0,0,0
116.422,17 53 56.40432,-34 49 11.5176,268.485018,-34.819866,17535640-3449115,13.228,0.036,12.33,0.035,12.074,0.029,AAA,222,111,000,0,0
116.598,17 53 53.03712,-34 49 29.8668,268.470988,-34.824963,17535303-3449298,14.435,0.023,13.741,0.022,13.499,0.039,BBB,222,111,000,0,0
117.164,17 53 49.56984,-34 45 40.1688,268.456541,-34.761158,17534956-3445401,14.139,0.03,13.393,0.022,13.212,0.026,AAA,222,111,s00,0,0
117.217,17 53 44.14320,-34 46 14.7360,268.43393,-34.77076,17534414-3446147,14.295,0.102,13.587,0.11,13.253,0.093,ABA,222,111,ccc,0,0
117.823,17 53 58.29648,-34 46 19.8300,268.492902,-34.772175,17535829-3446198,14.723,0.041,14.214,0.038,13.938,,BDU,220,110,000,0,0
117.865,17 53 57.49944,-34 49 02.5104,268.489581,-34.817364,17535749-3449025,13.038,0.059,12.198,0.068,11.915,0.051,AAA,222,111,000,0,0
118.072,17 54 00.56736,-34 47 43.2168,268.502364,-34.795338,17540056-3447432,14.563,0.07,12.576,,12.468,,BUU,200,100,c00,0,0
118.241,17 53 44.78232,-34 49 06.0924,268.436593,-34.818359,17534478-3449060,12.785,0.03,11.864,0.029,11.603,0.024,AAA,222,111,000,0,0
118.252,17 53 55.43664,-34 49 20.8704,268.480986,-34.822464,17535543-3449208,10.038,0.024,9.087,0.027,8.785,0.021,AAA,222,111,s00,0,0
118.358,17 53 51.52872,-34 45 37.8216,268.464703,-34.760506,17535152-3445378,14.301,0.051,13.542,0.063,12.671,,ABU,226,220,cc0,0,0
118.398,17 53 54.07992,-34 45 43.8480,268.475333,-34.76218,17535407-3445438,13.006,0.045,12.14,0.047,11.926,0.037,EEE,222,111,000,0,0
118.404,17 53 44.79816,-34 46 05.5488,268.436659,-34.768208,17534479-3446055,11.641,0.022,10.634,0.022,10.234,0.019,AAA,222,111,000,0,0
118.492,17 53 42.87144,-34 46 32.6568,268.428631,-34.775738,17534287-3446326,14.845,0.124,14.067,0.087,13.935,0.078,CCC,222,222,ccc,0,0
118.543,17 53 58.17216,-34 48 55.0512,268.492384,-34.815292,17535817-3448550,14.301,0.088,13.03,,12.818,,AUU,200,100,000,0,0
118.596,17 53 54.29832,-34 49 27.4224,268.476243,-34.824284,17535429-3449274,10.586,0.024,9.485,0.023,9.076,0.021,AAA,222,111,ss0,0,0
118.813,17 53 46.09224,-34 49 18.2892,268.442051,-34.821747,17534609-3449182,14.613,0.054,13.762,0.067,13.536,0.057,BBB,222,111,000,0,0
118.877,17 53 46.61928,-34 49 21.9288,268.444247,-34.822758,17534661-3449219,13.745,0.026,13.015,0.022,12.809,0.023,AAA,222,111,ss0,0,0
118.927,17 53 57.50616,-34 46 08.1444,268.489609,-34.768929,17535750-3446081,13.302,0.043,12.431,0.058,12.205,0.041,AAA,222,111,c00,0,0
118.953,17 53 51.78096,-34 45 37.4364,268.465754,-34.760399,17535178-3445374,13.927,0.078,13.29,0.101,12.543,,AAU,226,220,cc0,0,0
119.073,17 53 41.73312,-34 48 09.9000,268.423888,-34.80275,17534173-3448099,13.796,0.046,13.048,0.056,12.815,0.047,AAA,222,111,000,0,0
119.101,17 53 41.59344,-34 48 03.5676,268.423306,-34.800991,17534159-3448035,14.626,0.04,13.85,0.033,13.752,0.055,BCB,222,111,000,0,0
119.255,17 53 43.29672,-34 46 23.7828,268.430403,-34.773273,17534329-3446237,14.33,0.078,13.642,0.075,13.429,0.054,ABB,222,111,ccc,0,0
119.293,17 53 47.51328,-34 49 27.2964,268.447972,-34.824249,17534751-3449272,14.007,0.058,13.187,0.071,13.008,0.055,AAA,222,111,ss0,0,0
119.776,17 53 58.28016,-34 48 55.4112,268.492834,-34.815392,17535828-3448554,13.608,,13.677,0.096,13.358,0.069,UBA,022,011,000,0,0
119.927,17 53 49.00008,-34 45 38.6316,268.454167,-34.760731,17534900-3445386,13.837,0.052,13.084,0.065,12.897,0.049,AAA,222,111,s00,0,0
120.204,17 53 55.96536,-34 45 52.5276,268.483189,-34.764591,17535596-3445525,14.497,0.032,13.837,0.044,13.647,0.042,BCB,222,222,ccc,0,0
120.219,17 54 00.40944,-34 47 04.1172,268.501706,-34.784477,17540040-3447041,14.763,0.06,13.966,0.067,13.796,0.058,BCC,222,111,ccc,0,0
120.522,17 53 41.84328,-34 48 18.4824,268.424347,-34.805134,17534184-3448184,14.438,0.037,13.695,0.035,13.622,0.054,BBB,222,111,000,0,0
120.534,17 53 42.62304,-34 46 33.7260,268.427596,-34.776035,17534262-3446337,14.249,0.128,13.452,0.186,13.319,0.138,BCB,222,222,ccc,0,0
120.555,17 53 59.39256,-34 46 34.0032,268.497469,-34.776112,17535939-3446340,13.78,0.107,13.238,0.091,12.967,0.066,AAA,222,222,ccc,0,0
120.66,17 53 57.17088,-34 46 02.3052,268.488212,-34.767307,17535717-3446023,11.342,0.028,10.915,0.035,10.863,0.032,AAA,222,111,000,0,0
120.84,17 53 41.20728,-34 47 43.1592,268.421697,-34.795322,17534120-3447431,13.609,0.083,12.909,0.113,12.679,0.089,ABA,222,111,ccc,0,0
120.872,17 54 00.56664,-34 48 02.9088,268.502361,-34.800808,17540056-3448029,13.667,0.043,12.946,0.053,12.777,0.038,AAA,222,111,ccc,0,0
120.899,17 53 41.24208,-34 47 48.9984,268.421842,-34.796944,17534124-3447489,14.095,0.041,13.17,0.049,12.945,0.047,AAA,222,111,ccc,0,0
121.153,17 53 57.93624,-34 49 01.9056,268.491401,-34.817196,17535793-3449019,14.195,0.065,13.547,0.074,13.375,0.06,ABA,222,111,ccc,0,0
121.159,17 53 43.55904,-34 46 16.7808,268.431496,-34.771328,17534355-3446167,9.759,0.023,9.507,0.023,9.469,0.021,AAA,222,111,000,0,0
121.536,17 54 00.86232,-34 47 32.5572,268.503593,-34.792377,17540086-3447325,13.968,0.043,13.308,0.052,13.132,0.038,AAA,222,111,00c,0,0
121.569,17 54 00.48168,-34 48 09.7488,268.502007,-34.802708,17540048-3448097,10.996,0.023,9.989,0.023,9.641,0.019,AAA,222,111,000,0,0
121.615,17 53 48.94824,-34 49 34.9608,268.453951,-34.826378,17534894-3449349,11.191,0.032,10.3,0.038,10.011,0.029,AAA,222,111,000,0,0
121.777,17 53 58.72824,-34 46 20.0748,268.494701,-34.772243,17535872-3446200,14.305,0.041,13.476,0.041,13.172,0.043,ABA,222,111,000,0,0
121.941,17 53 41.23224,-34 47 55.8348,268.421801,-34.798843,17534123-3447558,14.669,0.044,13.855,0.033,13.634,0.049,BEB,222,111,00c,0,0
122.344,17 53 45.95136,-34 45 50.6484,268.441464,-34.764069,17534595-3445506,14.643,0.04,13.825,0.022,13.629,0.032,BBB,222,111,ccc,0,0
122.393,17 53 58.00944,-34 46 09.2676,268.491706,-34.769241,17535800-3446092,12.61,0.063,11.662,0.072,11.322,0.051,EEE,222,111,000,0,0
122.56,17 53 42.26448,-34 48 34.6860,268.426102,-34.809635,17534226-3448346,14.22,0.039,13.374,0.041,13.218,0.045,AAA,222,122,0cc,0,0
122.881,17 53 58.42104,-34 46 13.8972,268.493421,-34.770527,17535842-3446138,14.43,0.053,13.732,0.074,13.485,0.054,BBB,222,111,ccc,0,0
123.264,17 53 52.86432,-34 45 34.8948,268.470268,-34.759693,17535286-3445348,13.975,0.083,13.165,0.102,13.044,0.069,AAA,222,111,c00,0,0
123.449,17 54 00.34056,-34 46 51.2904,268.501419,-34.780914,17540034-3446512,13.2,0.033,12.351,0.042,12.069,0.036,AAA,222,221,cc0,0,0
123.518,17 53 55.95792,-34 45 48.6432,268.483158,-34.763512,17535595-3445486,13.269,0.035,12.592,0.045,12.424,0.036,AAA,222,222,ccc,0,0
123.519,17 53 42.54048,-34 48 42.3360,268.427252,-34.81176,17534254-3448423,13.917,0.052,13.104,0.067,12.92,0.05,AAA,222,111,00c,0,0
123.612,17 53 43.94544,-34 46 08.1012,268.433106,-34.768917,17534394-3446081,14.086,0.065,13.353,0.062,13.173,0.065,AAA,222,111,ccc,0,0
123.664,17 53 57.05640,-34 49 14.6352,268.487735,-34.820732,17535705-3449146,14.523,0.037,13.885,0.051,13.681,0.05,BCB,222,111,c00,0,0
123.96,17 54 00.91416,-34 47 14.7732,268.503809,-34.787437,17540091-3447147,13.44,0.054,12.65,0.067,12.475,0.055,AAA,222,111,000,0,0
124.056,17 53 56.69448,-34 49 18.3288,268.486227,-34.821758,17535669-3449183,13.913,0.041,13.122,0.055,12.95,0.048,AAA,222,111,ccc,0,0
124.124,17 53 45.48552,-34 49 19.8948,268.439523,-34.822193,17534548-3449198,14.04,0.045,12.517,,12.284,,AUU,266,200,c00,0,0
124.238,17 53 58.48104,-34 48 59.3388,268.493671,-34.816483,17535848-3448593,14.177,0.112,13.477,0.137,13.267,0.09,BBA,222,111,000,0,0
124.248,17 53 56.88744,-34 45 55.1232,268.487031,-34.765312,17535688-3445551,13.682,0.053,13.114,0.065,13.011,0.07,AAA,222,111,c00,0,0
124.391,17 54 01.07784,-34 47 43.9008,268.504491,-34.795528,17540107-3447439,14.029,0.035,13.28,0.031,13.072,0.026,AAA,222,111,000,0,0
124.538,17 53 41.54424,-34 46 51.9492,268.423101,-34.781097,17534154-3446519,14.172,0.043,13.435,0.052,13.166,0.048,AAA,222,222,ccc,0,0
124.599,17 53 57.68568,-34 49 09.5124,268.490357,-34.819309,17535768-3449095,13.342,0.022,12.417,0.022,12.212,0.019,AAA,222,111,000,0,0
124.746,17 53 59.68872,-34 46 31.9404,268.498703,-34.775539,17535968-3446319,13.722,0.066,12.889,0.11,12.638,0.076,ABA,222,222,ccc,0,0
124.838,17 53 44.48832,-34 49 11.6688,268.435368,-34.819908,17534448-3449116,14.63,0.093,13.877,0.127,13.764,0.083,BCB,222,111,ccc,0,0
124.869,17 53 53.21640,-34 45 34.1532,268.471735,-34.759487,17535321-3445341,14.457,0.032,13.696,0.033,13.526,0.034,BBB,222,111,cpc,0,0
125.078,17 53 45.24360,-34 49 19.0452,268.438515,-34.821957,17534524-3449190,14.026,0.082,12.837,,12.645,,AUU,266,200,c00,0,0
125.084,17 53 42.98040,-34 48 52.7436,268.429085,-34.814651,17534298-3448527,10.564,0.026,9.469,0.027,9.07,0.027,AAA,222,111,000,0,0
125.122,17 53 50.23560,-34 49 40.7676,268.459315,-34.827991,17535023-3449407,14.001,0.053,13.23,0.067,13.045,0.055,AAA,222,111,ccc,0,0
125.746,17 53 40.98384,-34 47 11.7528,268.420766,-34.786598,17534098-3447117,14.314,0.024,13.563,0.022,13.35,0.039,ABA,222,111,s0s,0,0
125.862,17 53 48.37512,-34 49 37.6392,268.451563,-34.827122,17534837-3449376,10.069,0.024,9.027,0.025,8.622,0.023,AAA,222,111,000,0,0
125.945,17 53 48.50016,-34 45 33.8796,268.452084,-34.759411,17534850-3445338,13.98,0.043,13.281,0.047,13.043,0.032,AAA,222,111,s00,0,0
126.059,17 53 41.69688,-34 46 43.5036,268.423737,-34.778751,17534169-3446435,14.363,0.06,13.561,0.068,13.283,0.054,ABA,222,111,000,0,0
126.063,17 53 41.08608,-34 47 04.7508,268.421192,-34.784653,17534108-3447047,14.308,0.049,13.518,0.056,13.271,0.044,ABA,222,111,000,0,0
126.179,17 53 42.08184,-34 48 38.0916,268.425341,-34.810581,17534208-3448380,14.749,0.045,13.963,0.035,13.751,0.042,BCB,222,122,ccc,0,0
126.44,17 53 51.90168,-34 45 30.0492,268.466257,-34.758347,17535190-3445300,11.888,0.026,11.079,0.027,10.824,0.023,AAA,222,111,000,0,0
126.556,17 53 42.51120,-34 48 47.3076,268.42713,-34.813141,17534251-3448473,14.549,0.725,13.73,0.87,13.491,0.076,DDB,222,111,ccc,0,0
126.709,17 53 41.09496,-34 48 10.2024,268.421229,-34.802834,17534109-3448102,14.947,0.044,14.094,0.022,13.942,0.054,CCC,222,111,000,0,0
126.757,17 53 45.63240,-34 49 24.1536,268.440135,-34.823376,17534563-3449241,13.05,0.041,12.347,0.051,12.14,0.037,AAA,222,111,ss0,0,0
126.911,17 53 58.82856,-34 46 13.5120,268.495119,-34.77042,17535882-3446135,14.185,0.064,13.403,0.06,13.18,0.047,AAA,222,111,cc0,0,0
126.95,17 53 58.57752,-34 46 09.9696,268.494073,-34.769436,17535857-3446099,13.648,0.083,12.939,0.115,12.725,0.086,ABA,222,111,000,0,0
127.165,17 53 47.86008,-34 49 37.1424,268.449417,-34.826984,17534786-3449371,12.413,0.061,11.574,0.088,11.24,0.056,EEE,222,111,ccc,0,0
127.21,17 53 41.98032,-34 46 34.0716,268.424918,-34.776131,17534198-3446340,14.062,0.053,13.354,0.055,13.132,0.061,AAA,222,111,000,0,0
127.484,17 54 00.69528,-34 46 51.4272,268.502897,-34.780952,17540069-3446514,14.413,0.037,13.7,0.049,13.42,0.049,BBB,222,221,ccc,0,0
127.57,17 53 49.89696,-34 49 42.8448,268.457904,-34.828568,17534989-3449428,13.8,0.105,13.019,0.17,12.869,0.107,ACA,222,111,ccc,0,0
127.647,17 53 41.34360,-34 46 49.7136,268.422265,-34.780476,17534134-3446497,14.065,0.073,13.32,0.089,13.059,0.078,AAA,222,222,ccc,0,0
127.857,17 53 55.20000,-34 49 32.9268,268.48,-34.825813,17535520-3449329,14.615,0.028,13.801,0.022,13.521,0.041,BEB,222,111,ccc,0,0
128.331,17 53 47.26848,-34 45 36.1872,268.446952,-34.760052,17534726-3445361,14.853,0.039,14.086,0.031,13.905,0.059,CCC,222,111,ppp,0,0
128.523,17 53 42.36504,-34 46 23.8800,268.426521,-34.7733,17534236-3446238,14.352,0.044,13.685,0.053,13.495,0.047,ABB,222,111,000,0,0
128.617,17 54 01.13856,-34 47 05.2836,268.504744,-34.784801,17540113-3447052,13.545,0.085,12.923,0.113,12.511,0.066,EEE,222,111,00s,0,0
128.765,17 53 49.30656,-34 49 43.0644,268.455444,-34.828629,17534930-3449430,13.784,0.062,13.1,0.078,12.908,0.045,AAA,222,111,ccc,0,0
129.358,17 54 00.44880,-34 46 39.5760,268.50187,-34.77766,17540044-3446395,15.256,,14.601,,14.133,0.071,UUC,002,001,000,0,0
129.518,17 53 47.21520,-34 49 36.8400,268.44673,-34.8269,17534721-3449368,14.711,0.143,13.568,,13.463,,BUU,200,100,c00,0,0
129.564,17 53 44.36640,-34 49 16.5576,268.43486,-34.821266,17534436-3449165,13.39,,12.488,,13.598,0.068,UUB,002,001,00c,0,0
129.601,17 53 40.90272,-34 46 59.6136,268.420428,-34.783226,17534090-3446596,14.845,,14.082,0.058,13.9,0.048,UCC,022,011,000,0,0
129.637,17 53 44.03472,-34 45 58.8312,268.433478,-34.766342,17534403-3445588,12.613,0.033,12.222,0.041,12.127,0.037,AAA,222,111,000,0,0
129.717,17 53 45.32736,-34 45 46.7208,268.438864,-34.762978,17534532-3445467,11.895,0.09,11.164,0.079,10.938,0.045,EAA,222,211,ccc,0,0
129.799,17 53 41.11752,-34 48 21.0636,268.421323,-34.805851,17534111-3448210,14.91,0.058,14.173,0.058,13.932,0.051,CCC,222,111,000,0,0
129.975,17 53 59.83296,-34 46 24.9240,268.499304,-34.77359,17535983-3446249,13.812,0.049,13.12,0.062,12.975,0.052,AAA,222,111,000,0,0
130.165,17 53 46.78080,-34 45 36.6660,268.44492,-34.760185,17534678-3445366,14.277,0.052,13.49,0.051,13.281,0.052,ABA,222,111,ppp,0,0
130.221,17 53 44.61096,-34 49 19.7580,268.435879,-34.822155,17534461-3449197,12.618,0.033,11.708,0.038,11.413,0.027,AAA,222,111,000,0,0
130.257,17 53 40.59096,-34 47 13.0848,268.419129,-34.786968,17534059-3447130,14.009,0.065,13.231,0.078,13.059,0.066,AAA,222,111,s0s,0,0
130.557,17 53 52.89480,-34 45 27.5472,268.470395,-34.757652,17535289-3445275,14.172,0.022,13.388,0.09,13.117,0.059,AAA,222,111,ccc,0,0
130.804,17 53 58.25328,-34 46 00.4800,268.492722,-34.7668,17535825-3446004,14.555,0.059,13.914,0.073,13.634,0.058,BCB,222,111,000,0,0
130.818,17 53 56.96256,-34 49 24.2616,268.487344,-34.823406,17535696-3449242,12.023,0.022,11.024,0.023,10.721,0.026,AAA,222,111,ss0,0,0
131.161,17 54 01.46832,-34 47 12.0552,268.506118,-34.786682,17540146-3447120,14.244,0.083,13.501,0.094,13.249,0.068,ABA,222,111,s0s,0,0
131.168,17 53 59.04216,-34 49 01.9884,268.496009,-34.817219,17535904-3449019,12.764,0.04,11.891,0.047,11.648,0.039,EEE,222,111,000,0,0
131.269,17 53 45.69096,-34 45 42.1884,268.440379,-34.761719,17534569-3445421,13.637,0.105,12.765,0.085,12.578,0.063,AAA,222,111,ccc,0,0
131.467,17 53 55.21248,-34 45 35.2116,268.480052,-34.759781,17535521-3445352,13.926,0.036,13.172,0.022,12.92,0.032,AAA,222,111,ccc,0,0
131.63,17 53 59.89248,-34 48 49.0104,268.499552,-34.813614,17535989-3448490,13.98,0.112,13.503,0.156,13.41,0.073,BCB,222,111,000,0,0
131.64,17 53 52.41552,-34 49 46.4808,268.468398,-34.829578,17535241-3449464,15.035,0.052,15.065,,14.894,,CUU,200,100,000,0,0
131.818,17 54 01.05624,-34 48 21.0924,268.504401,-34.805859,17540105-3448210,13.909,0.039,13.194,0.083,13.056,0.071,AAA,222,111,000,0,0
131.898,17 53 54.23784,-34 45 30.2796,268.475991,-34.758411,17535423-3445302,14.748,0.053,14,0.022,13.765,0.049,BEB,222,111,ccc,0,0
132.003,17 53 58.76976,-34 46 05.1060,268.494874,-34.768085,17535876-3446051,14.725,0.146,13.984,0.082,13.772,0.059,BCB,222,111,ccc,0,0
132.483,17 53 40.43904,-34 48 01.0836,268.418496,-34.800301,17534043-3448010,14.322,0.059,13.895,0.081,13.706,0.07,ACB,222,111,000,0,0
132.535,17 54 00.97608,-34 48 25.6644,268.504067,-34.807129,17540097-3448256,14.023,0.086,13.281,0.057,13.113,0.045,AAA,222,111,c00,0,0
132.555,17 53 40.27464,-34 47 46.7844,268.417811,-34.796329,17534027-3447467,13.616,0.035,12.885,0.038,12.621,0.03,AAA,222,111,000,0,0
132.862,17 53 57.62352,-34 49 20.8704,268.490098,-34.822464,17535762-3449208,13.091,0.022,12.107,0.025,11.816,0.026,AAA,222,111,s00,0,0
132.96,17 53 51.17856,-34 45 23.0580,268.463244,-34.756405,17535117-3445230,14.845,0.056,14,0.035,13.976,0.073,CEC,222,111,c0c,0,0
133.135,17 53 56.30184,-34 49 32.0232,268.484591,-34.825562,17535630-3449320,13.002,0.022,12.033,0.022,11.814,0.019,AAA,222,111,000,0,0
133.359,17 53 40.17984,-34 47 31.5852,268.417416,-34.792107,17534017-3447315,13.771,0.022,13.133,0.022,12.995,0.023,AAA,222,111,000,0,0
133.693,17 53 43.66632,-34 45 57.4596,268.431943,-34.765961,17534366-3445574,14.32,0.062,13.584,0.055,13.4,0.045,ABB,222,111,ccc,0,0
133.739,17 53 43.53744,-34 49 13.1520,268.431406,-34.82032,17534353-3449131,13.339,0.03,12.462,0.031,12.163,0.026,AAA,222,111,000,0,0
133.82,17 53 53.19912,-34 45 24.9516,268.471663,-34.756931,17535319-3445249,14.258,0.036,13.511,0.022,13.271,0.021,ABA,222,111,ccc,0,0
133.966,17 53 44.02896,-34 45 53.1864,268.433454,-34.764774,17534402-3445531,14.028,0.086,13.268,0.088,13.046,0.067,AAA,222,111,ccc,0,0
134.012,17 53 41.65824,-34 46 27.3396,268.423576,-34.774261,17534165-3446273,14.856,0.056,14.036,0.063,13.852,0.06,CCC,222,111,000,0,0
134.049,17 53 50.08392,-34 49 49.5732,268.458683,-34.830437,17535008-3449495,10.599,0.032,9.539,0.033,9.147,0.027,AAA,222,111,s00,0,0
134.147,17 53 44.97864,-34 45 44.2332,268.437411,-34.762287,17534497-3445442,8.566,0.027,8.57,0.044,8.534,0.027,AAA,112,111,000,0,0
134.205,17 54 00.77040,-34 48 35.4024,268.50321,-34.809834,17540077-3448354,14.544,0.047,13.966,0.066,13.895,0.059,BCC,222,111,000,0,0
134.219,17 53 42.80016,-34 49 04.4040,268.428334,-34.81789,17534280-3449044,13.316,0.04,12.423,0.049,12.176,0.042,AAE,222,111,000,0,0
134.251,17 53 55.30152,-34 49 39.3564,268.480423,-34.827599,17535530-3449393,14.165,0.022,13.398,0.022,13.174,0.021,AAA,222,111,c00,0,0
134.502,17 53 56.90928,-34 49 29.1108,268.487122,-34.824753,17535690-3449291,14.696,0.061,12.454,,13.652,0.047,BUB,202,101,c0c,0,0
134.58,17 53 49.89408,-34 45 22.1112,268.457892,-34.756142,17534989-3445221,14.598,0.059,13.807,0.078,13.643,0.064,BBB,222,111,c00,0,0
134.67,17 54 01.00176,-34 46 41.6496,268.504174,-34.778236,17540100-3446416,13.875,0.058,13.153,0.067,12.878,0.051,AAA,222,111,000,0,0
134.787,17 53 48.08112,-34 49 45.9048,268.450338,-34.829418,17534808-3449459,13.172,0.047,12.303,0.057,12.106,0.044,AAA,222,111,ccc,0,0
134.795,17 53 43.83864,-34 49 17.9328,268.432661,-34.821648,17534383-3449179,13.183,0.023,12.287,0.036,11.967,0.026,AAA,222,111,000,0,0
