_r ( arcsec ),_RAJ2000 ( "h:m:s" ),_DEJ2000 ( "d:m:s" ),RAJ2000 ( deg ),DEJ2000 ( deg ),2MASS,Jmag ( mag ),e_Jmag ( mag ),Hmag ( mag ),e_Hmag ( mag ),Kmag ( mag ),e_Kmag ( mag ),Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
88.96,17 53 57.92184,-34 47 10.6404,268.491341,-34.786289,17535792-3447106,10.858,0.024,9.881,0.027,9.54,0.026,AAA,222,111,s0s,0,0
89.017,17 53 48.68232,-34 46 11.6868,268.452843,-34.769913,17534868-3446116,13.96,0.06,13.195,0.067,12.928,0.055,AAA,222,111,000,0,0
89.167,17 53 44.57784,-34 48 17.1504,268.435741,-34.804764,17534457-3448171,14.557,0.041,13.866,0.045,13.645,0.044,BCB,222,111,000,0,0
89.41,17 53 47.42712,-34 48 53.8308,268.447613,-34.814953,17534742-3448538,14.425,0.065,13.606,0.087,13.49,0.066,BBB,222,111,ccc,0,0
90.001,17 53 46.07160,-34 46 29.5644,268.441965,-34.774879,17534607-3446295,14.177,0.028,13.775,0.052,13.738,0.055,ABB,222,111,ccc,0,0
90.143,17 53 55.64904,-34 48 45.6192,268.481871,-34.812672,17535564-3448456,13.484,0.062,12.847,0.075,12.735,0.067,AAA,222,111,000,0,0
90.163,17 53 52.88712,-34 49 03.1152,268.470363,-34.817532,17535288-3449031,14.098,0.101,13.444,0.177,13.174,0.061,ACA,222,111,ccc,0,0
90.168,17 53 53.94432,-34 48 58.5540,268.474768,-34.816265,17535394-3448585,14.657,0.116,14.017,0.189,13.005,,BCU,220,110,cc0,0,0
90.303,17 53 54.73488,-34 48 53.7084,268.478062,-34.814919,17535473-3448537,13.862,0.066,12.995,0.074,12.765,0.049,AAA,222,111,cc0,0,0
90.317,17 53 57.75384,-34 48 11.1636,268.490641,-34.803101,17535775-3448111,12.632,0.039,11.819,0.041,11.677,0.033,AAA,222,111,000,0,0
90.826,17 53 58.34808,-34 47 28.5072,268.493117,-34.791252,17535834-3447285,12.362,0.045,11.446,0.042,11.233,0.037,AAA,222,111,000,0,0
90.865,17 53 45.12768,-34 46 41.0196,268.438032,-34.778061,17534512-3446410,13.195,0.077,12.518,0.083,12.28,0.038,AAA,222,111,ccc,0,0
91.112,17 53 44.84280,-34 46 45.5232,268.436845,-34.779312,17534484-3446455,12.375,0.039,11.516,0.038,11.352,0.029,AAA,222,111,000,0,0
91.156,17 53 55.52832,-34 46 23.9088,268.481368,-34.773308,17535552-3446239,14.072,0.033,13.249,0.042,13.057,0.043,AAA,222,111,c00,0,0
91.332,17 53 45.39072,-34 46 36.2820,268.439128,-34.776745,17534539-3446362,9.734,0.024,9.458,0.029,9.377,0.027,AAA,222,111,d0d,0,0
91.459,17 53 56.39856,-34 46 33.2184,268.484994,-34.775894,17535639-3446332,14.258,0.037,13.522,0.053,13.354,0.056,ABA,222,111,00c,0,0
91.46,17 53 51.39048,-34 46 04.6668,268.464127,-34.767963,17535139-3446046,14.926,0.077,14.146,0.083,13.899,0.082,CCC,222,111,ppp,0,0
91.489,17 53 50.43000,-34 49 07.2192,268.460125,-34.818672,17535043-3449072,11.774,0.032,11.337,0.045,11.287,0.042,AAA,222,111,000,0,0
91.517,17 53 50.08632,-34 46 05.1780,268.458693,-34.768105,17535008-3446051,12.764,0.03,11.827,0.023,11.55,0.023,AAA,222,111,000,0,0
91.705,17 53 43.64520,-34 47 50.2188,268.431855,-34.797283,17534364-3447502,12.271,0.066,11.573,0.065,11.328,0.052,EEE,222,111,ccc,0,0
91.736,17 53 51.45480,-34 49 07.5648,268.464395,-34.818768,17535145-3449075,13.095,0.046,12.627,0.066,12.512,0.055,AAA,222,111,ccc,0,0
91.778,17 53 51.81048,-34 49 07.2336,268.465877,-34.818676,17535181-3449072,14.173,0.068,13.533,0.08,13.312,0.069,ABA,222,111,ccc,0,0
91.916,17 53 43.67712,-34 47 18.3588,268.431988,-34.788433,17534367-3447183,14.841,0.095,14.102,0.052,13.789,0.052,CCC,222,111,ccc,0,0
91.921,17 53 48.87480,-34 49 04.1160,268.453645,-34.81781,17534887-3449041,14.308,0.032,13.575,0.022,13.405,0.045,ABB,222,111,00c,0,0
92.177,17 53 48.43728,-34 49 02.6040,268.451822,-34.81739,17534843-3449026,14.221,0.084,13.502,0.1,13.288,0.06,ABA,222,111,000,0,0
92.362,17 53 46.43160,-34 48 49.2444,268.443465,-34.813679,17534643-3448492,13.888,0.053,13.079,0.067,12.828,0.054,AAA,222,222,ccc,0,0
92.445,17 53 46.30704,-34 46 23.8656,268.442946,-34.773296,17534630-3446238,13.16,0.037,12.384,0.044,12.216,0.042,AAA,222,111,ccc,0,0
92.449,17 53 45.76968,-34 48 42.3072,268.440707,-34.811752,17534576-3448423,14.278,0.041,13.561,0.052,12.541,,ABU,226,210,cc0,0,0
92.929,17 53 45.39864,-34 48 38.2572,268.439161,-34.810627,17534539-3448382,13.98,0.17,13.185,0.106,12.86,0.174,CAC,222,122,pcc,0,0
92.991,17 53 58.32048,-34 47 13.3044,268.493002,-34.787029,17535832-3447133,14.023,0.039,13.207,0.051,12.997,0.061,AAA,222,111,ccc,0,0
93.465,17 53 49.79424,-34 49 08.2776,268.457476,-34.818966,17534979-3449082,14.476,0.044,13.866,0.042,13.688,0.07,EEB,222,111,ccc,0,0
94.039,17 53 50.45952,-34 46 02.1972,268.460248,-34.767277,17535045-3446021,14.617,0.045,14.005,0.171,13.778,0.044,BCB,222,111,ccc,0,0
94.106,17 53 52.25640,-34 49 08.8248,268.467735,-34.819118,17535225-3449088,14.551,0.07,13.812,0.055,13.642,0.07,BBB,222,112,ccc,0,0
94.498,17 53 57.42000,-34 48 27.7380,268.48925,-34.807705,17535742-3448277,14.158,0.022,13.421,0.022,13.199,0.019,AAA,222,111,000,0,0
94.535,17 53 45.43608,-34 46 30.8964,268.439317,-34.775249,17534543-3446308,11.932,,13.426,0.158,13.225,0.087,UCA,022,011,0cc,0,0
94.578,17 53 44.10648,-34 46 54.3684,268.433777,-34.781769,17534410-3446543,14.601,0.051,14.162,0.049,14.093,0.072,BCC,222,111,ccc,0,0
94.831,17 53 57.92232,-34 48 17.5068,268.491343,-34.804863,17535792-3448175,14.404,0.07,13.724,0.08,13.558,0.066,ABB,222,111,ccc,0,0
95.095,17 53 45.46920,-34 48 42.3504,268.439455,-34.811764,17534546-3448423,13.891,0.128,13.176,0.195,10.727,,BEU,226,210,cc0,0,0
95.26,17 53 45.06744,-34 48 37.1160,268.437781,-34.81031,17534506-3448371,13.823,0.176,12.983,0.199,12.72,0.163,CCC,222,122,ccc,0,0
95.521,17 53 47.52672,-34 46 10.5996,268.448028,-34.769611,17534752-3446105,13.313,0.036,12.654,0.041,12.383,0.033,AAA,222,111,000,0,0
95.722,17 53 54.88608,-34 48 58.8960,268.478692,-34.81636,17535488-3448588,14.413,0.039,13.658,0.025,13.446,0.032,BBB,222,111,000,0,0
95.825,17 53 58.04472,-34 46 55.3692,268.491853,-34.782047,17535804-3446553,13.738,0.046,13.035,0.052,12.811,0.038,AAA,222,111,000,0,0
95.858,17 53 56.49336,-34 48 43.9020,268.485389,-34.812195,17535649-3448439,14.583,0.04,13.763,0.088,13.621,0.071,BBB,222,221,cc0,0,0
95.918,17 53 44.04768,-34 48 19.2096,268.433532,-34.805336,17534404-3448192,14.439,0.03,13.72,0.035,13.535,0.043,BBB,222,111,000,0,0
95.995,17 53 56.29464,-34 48 46.4436,268.484561,-34.812901,17535629-3448464,14.51,0.083,13.751,0.06,13.696,0.06,BBB,222,221,ccc,0,0
96.058,17 53 52.57536,-34 49 10.0776,268.469064,-34.819466,17535257-3449100,14.4,0.065,13.659,0.052,13.403,0.05,ABB,222,112,ccc,0,0
96.598,17 53 54.34464,-34 49 03.3744,268.476436,-34.817604,17535434-3449033,13.863,0.024,13.027,0.025,12.755,0.026,AAA,222,111,000,0,0
96.816,17 53 54.24048,-34 46 07.7988,268.476002,-34.768833,17535424-3446077,11.07,0.024,10.727,0.027,10.708,0.03,AAA,222,111,000,0,0
96.934,17 53 51.04392,-34 49 12.9324,268.462683,-34.820259,17535104-3449129,11.164,0.039,10.148,0.052,9.815,0.038,AAA,222,111,c00,0,0
97.08,17 53 55.49424,-34 48 55.7532,268.481226,-34.815487,17535549-3448557,12.883,0.064,12.192,0.087,11.923,0.057,AAE,222,221,cc0,0,0
97.088,17 53 46.54032,-34 48 56.0556,268.443918,-34.815571,17534654-3448560,15.512,,14.679,,14.311,0.078,UUD,002,001,00c,0,0
97.279,17 53 46.81080,-34 46 13.5408,268.445045,-34.770428,17534681-3446135,13.013,0.04,12.118,0.041,11.929,0.036,EAA,222,111,000,0,0
97.513,17 53 58.03632,-34 46 51.3336,268.491818,-34.780926,17535803-3446513,14.392,0.029,13.694,0.033,13.554,0.037,ABB,222,111,ccc,0,0
97.649,17 53 58.89672,-34 47 27.4632,268.495403,-34.790962,17535889-3447274,14.313,0.056,13.501,0.086,13.305,0.07,ABA,222,111,ccc,0,0
98.088,17 53 51.61104,-34 45 58.2012,268.465046,-34.766167,17535161-3445582,12.587,0.036,11.714,0.048,11.413,0.03,AAA,222,111,000,0,0
98.204,17 53 56.96016,-34 46 30.7884,268.487334,-34.775219,17535696-3446307,14.389,0.057,13.65,0.066,13.469,0.056,ABB,222,111,000,0,0
98.244,17 53 55.83552,-34 46 17.8788,268.482648,-34.771633,17535583-3446178,13.031,0.022,12.137,0.022,11.869,0.021,AAA,222,111,000,0,0
98.818,17 53 44.17488,-34 46 44.0832,268.434062,-34.778912,17534417-3446440,13.096,0.022,12.35,0.022,12.096,0.019,AAA,222,111,000,0,0
99.166,17 53 51.47688,-34 49 14.9916,268.464487,-34.820831,17535147-3449149,14.169,0.057,13.575,0.097,13.405,0.065,ABB,222,111,ccc,0,0
99.691,17 53 45.02352,-34 48 43.2288,268.437598,-34.812008,17534502-3448432,10.277,0.028,9.132,0.027,8.707,0.026,AAA,222,111,000,0,0
99.925,17 53 49.92144,-34 45 56.9628,268.458006,-34.765823,17534992-3445569,14.481,0.058,13.918,0.115,13.653,0.067,BCB,222,111,000,0,0
100.839,17 53 50.68200,-34 49 16.7628,268.461175,-34.821323,17535068-3449167,10.104,0.041,9.12,0.051,8.783,0.041,AAA,222,111,000,0,0
100.977,17 53 59.19672,-34 47 37.2552,268.496653,-34.793682,17535919-3447372,12.994,0.078,12.199,0.122,12.058,0.101,ABA,222,111,ccc,0,0
101.087,17 53 45.20880,-34 46 24.3876,268.43837,-34.773441,17534520-3446243,14.336,0.077,13.621,0.056,13.436,0.055,ABB,222,111,ccc,0,0
101.132,17 53 55.71600,-34 48 58.7880,268.48215,-34.81633,17535571-3448587,13.826,0.047,13.023,0.051,12.838,0.042,AAA,222,221,ccc,0,0
101.277,17 53 59.14728,-34 47 22.4232,268.496447,-34.789562,17535914-3447224,15.355,,14.412,,14.121,0.066,UUC,002,001,00c,0,0
101.313,17 53 44.41104,-34 46 35.3748,268.435046,-34.776493,17534441-3446353,14.06,0.044,13.221,0.061,13.04,0.058,AAA,222,111,cd0,0,0
101.35,17 53 59.15664,-34 47 49.3008,268.496486,-34.797028,17535915-3447493,14.696,0.037,13.915,0.042,13.756,0.058,BCB,222,111,ccc,0,0
101.605,17 53 46.78176,-34 46 08.6916,268.444924,-34.769081,17534678-3446086,13.535,0.03,12.808,0.038,12.647,0.041,AAA,222,111,cc0,0,0
101.965,17 53 58.22856,-34 46 46.3332,268.492619,-34.779537,17535822-3446463,13.946,0.054,13.149,0.06,12.958,0.048,AAA,222,111,000,0,0
102.126,17 53 44.14416,-34 48 33.4368,268.433934,-34.809288,17534414-3448334,14.431,0.054,13.785,0.07,13.648,0.057,BBB,222,111,0cc,0,0
102.552,17 53 58.93632,-34 47 05.0388,268.495568,-34.784733,17535893-3447050,12.798,0.036,12.039,0.041,11.872,0.037,EEE,222,111,000,0,0
102.59,17 53 51.89112,-34 49 18.0012,268.466213,-34.821667,17535189-3449180,14.064,0.054,13.373,0.062,13.144,0.045,AAA,222,222,ccc,0,0
102.898,17 53 49.56600,-34 45 54.6300,268.456525,-34.765175,17534956-3445546,14.374,0.066,13.538,0.081,13.434,0.07,ABB,222,111,000,0,0
102.923,17 53 44.49240,-34 48 40.5648,268.435385,-34.811268,17534449-3448405,14.473,0.151,13.819,0.174,12.575,,BCU,220,110,cc0,0,0
102.988,17 53 48.38208,-34 49 13.8108,268.451592,-34.820503,17534838-3449138,13.807,0.036,13.041,0.033,12.755,0.029,AAA,222,111,000,0,0
103.059,17 53 48.46872,-34 45 57.7728,268.451953,-34.766048,17534846-3445577,13.484,0.057,12.792,0.075,12.573,0.055,AAA,222,111,000,0,0
103.433,17 53 58.54440,-34 48 21.4200,268.493935,-34.80595,17535854-3448214,14.601,0.047,13.994,0.058,13.834,0.055,BCC,222,111,000,0,0
103.603,17 53 54.66240,-34 49 09.2676,268.47776,-34.819241,17535466-3449092,14.238,0.053,13.461,0.088,13.259,0.043,AEE,222,111,ccc,0,0
104.019,17 53 47.78712,-34 45 59.8068,268.449113,-34.766613,17534778-3445598,14.659,0.071,13.909,0.089,13.722,0.071,BCB,222,111,000,0,0
104.028,17 53 43.61880,-34 46 45.4692,268.431745,-34.779297,17534361-3446454,14.45,0.035,13.653,0.023,13.611,0.045,BBB,222,111,cpp,0,0
104.129,17 53 46.05240,-34 49 00.4368,268.441885,-34.816788,17534605-3449004,14.426,0.029,13.62,0.022,13.429,0.038,BBB,222,111,ccc,0,0
104.14,17 53 43.26336,-34 48 18.0000,268.430264,-34.805,17534326-3448180,13.818,0.062,13.041,0.088,12.887,0.065,AAA,222,111,ccc,0,0
104.545,17 53 45.28344,-34 48 53.2800,268.438681,-34.8148,17534528-3448532,9.477,0.023,9.372,0.023,9.319,0.021,AAA,222,111,000,0,0
104.791,17 53 45.59184,-34 46 15.1176,268.439966,-34.770866,17534559-3446151,14.493,0.022,13.765,0.022,13.547,0.029,EEB,222,111,000,0,0
