Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
557,283.731612,-30.373508,283.731636,-30.373296,249,875,248.925,875.762,1,+189.895,1.0000,+37.4772,D.N.,+14.1953,+0.2143,0,F,436.088135,435.659472,436.755953,435.443451,436.767322,0.000000,3.154171,1.560370,5,10,10,0,15,20,315.84,0.00,545,13.78,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
558,283.655628,-30.372109,283.655794,-30.371987,485,880,484.485,880.440,1,+264.048,1.0000,+35.8643,D.N.,+13.8374,+0.1475,0,F,435.569092,435.433389,435.759305,435.487579,435.763066,0.000000,1.812251,1.433354,5,10,10,0,15,20,315.84,0.00,549,3.21,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
559,283.775398,-30.371549,283.775867,-30.371417,113,882,111.543,882.476,1,+121.397,1.0000,+27.4249,D.N.,+14.6811,+0.2453,0,F,435.485046,435.368244,435.723675,435.589355,435.726607,0.000000,1.599930,1.126663,5,10,10,0,15,20,315.84,0.00,551,16.14,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
560,283.668185,-30.371002,283.667967,-30.370862,446,884,446.677,884.505,1,+332.333,1.0000,+27.0390,D.N.,+13.5877,+0.0883,0,F,435.552902,435.121065,435.568724,435.492981,435.569710,0.000000,0.927497,0.896737,5,10,10,0,15,20,315.84,0.00,554,3.42,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
561,283.802763,-30.369589,283.802596,-30.369760,28,889,28.521,888.385,1,+254.603,1.0000,+40.6674,D.N.,+13.8769,+0.1734,0,F,436.143738,436.412576,437.501700,435.605591,437.533416,0.000000,5.272911,1.674747,5,10,10,0,15,20,315.84,0.00,545,14.01,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
562,283.796967,-30.368481,283.796871,-30.368464,46,893,46.298,893.063,1,+2060.42,1.0000,+51.0686,D.N.,+11.6067,+0.0269,0,F,435.863525,436.448817,435.983895,435.629608,435.985701,0.000000,1.256128,1.049079,5,10,10,0,15,20,315.84,0.00,549,3.75,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
563,283.684928,-30.369340,283.684828,-30.369600,394,890,394.310,889.064,1,+75.2010,1.0000,+23.2668,D.N.,+15.2010,+0.3359,0,F,435.337799,434.970134,435.486716,435.466919,435.488421,0.000000,1.219811,0.967287,5,10,10,0,15,20,315.84,0.00,547,3.53,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
564,283.778294,-30.367937,283.778114,-30.367995,104,895,104.557,894.791,1,+871.155,1.0000,+36.0263,D.N.,+12.5414,+0.0449,0,F,435.659576,435.616040,435.767118,435.657043,435.768260,0.000000,0.998605,0.926731,5,10,10,0,15,20,315.84,0.00,551,3.29,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
565,283.805658,-30.366809,283.805667,-30.366781,19,899,18.974,899.100,1,+259.667,1.0000,+28.9165,D.N.,+13.8556,+0.1209,0,F,435.980087,436.123471,435.981041,435.546539,435.982462,0.000000,1.114369,1.026841,5,10,10,0,15,20,315.84,0.00,432,3.28,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
566,283.798897,-30.366814,283.796912,-30.368462,40,899,46.172,893.071,1,+2069.96,1.0000,+51.1618,D.N.,+11.6017,+0.0268,0,F,435.863525,436.448817,435.983895,435.599884,435.985701,0.000000,1.256128,1.049079,5,10,10,0,15,20,315.84,0.00,549,11.59,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
