Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1,283.700354,-30.612954,283.700290,-30.612869,346,13,346.198,13.304,1,+1728.08,1.0000,+45.0967,D.N.,+12.7908,+0.0283,0,F,106.818314,106.969018,107.036486,106.601746,107.044426,0.000000,1.305397,0.741276,5,10,10,0,15,20,315.84,0.00,415,3.22,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aJ_asky_980819s0370245.fits
2,283.742313,-30.612395,283.742257,-30.612370,216,15,216.173,15.088,1,+945.003,1.0000,+33.5682,D.N.,+13.4461,+0.0386,0,F,106.650925,106.344211,106.666499,106.494247,106.668261,0.000000,0.613697,0.581866,5,10,10,0,15,20,315.84,0.00,451,4.06,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aJ_asky_980819s0370245.fits
3,283.742312,-30.609895,283.742254,-30.612371,216,24,216.182,15.087,1,+943.649,1.0000,+33.5480,D.N.,+13.4477,+0.0386,0,F,106.650925,106.344211,106.666499,106.498535,106.668261,0.000000,0.613697,0.581866,5,10,10,0,15,20,315.84,0.00,451,12.70,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aJ_asky_980819s0370245.fits
4,283.805251,-30.612365,283.805178,-30.612536,21,15,21.228,14.386,1,+368.540,1.0000,+32.4172,D.N.,+14.4685,+0.0955,0,F,106.600132,106.485909,107.064594,106.523056,107.079671,0.000000,1.799378,1.064202,5,10,10,0,15,20,315.84,0.00,348,3.31,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aJ_asky_980819s0370245.fits
5,283.713587,-30.612399,283.713638,-30.612401,305,15,304.843,14.993,1,+371.249,1.0000,+23.8065,D.N.,+14.4605,+0.0696,0,F,106.603470,106.604731,106.653009,106.649971,106.655257,0.000000,0.693285,0.603085,5,10,10,0,15,20,315.84,0.00,450,3.02,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aJ_asky_980819s0370245.fits
6,283.689703,-30.611841,283.689647,-30.611900,379,17,379.173,16.789,1,+1027.30,1.0000,+35.3253,D.N.,+13.3555,+0.0373,0,F,106.803711,106.870490,106.855546,106.482094,106.857893,0.000000,0.708933,0.654474,5,10,10,0,15,20,315.84,0.00,501,3.09,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aJ_asky_980819s0370245.fits
7,283.808155,-30.611807,283.808080,-30.611779,12,17,12.232,17.101,1,+354.201,1.0000,+25.5309,D.N.,+14.5116,+0.0783,0,F,106.374283,106.065708,106.512566,106.529716,106.517021,0.000000,0.975833,0.733890,5,10,10,0,15,20,281.72,0.00,293,3.25,2,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aJ_asky_980819s0370245.fits
8,283.730048,-30.611564,283.730090,-30.611433,254,18,253.867,18.471,1,+427.657,1.0000,+31.8341,D.N.,+14.3070,+0.0808,0,F,106.694241,106.810483,107.120124,106.526306,107.131882,0.000000,1.588777,1.071784,5,10,10,0,15,20,315.84,0.00,514,3.12,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aJ_asky_980819s0370245.fits
9,283.704550,-30.611009,283.704429,-30.611065,333,20,333.373,19.800,1,+1056.25,1.0000,+36.9641,D.N.,+13.3253,+0.0380,0,F,106.696930,106.420373,107.397998,106.648262,107.439763,0.000000,2.998167,0.789193,5,10,10,0,15,20,315.84,0.00,548,3.05,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aJ_asky_980819s0370245.fits
10,283.790725,-30.610430,283.790645,-30.610579,66,22,66.248,21.464,1,+202.412,1.0000,+22.0732,D.N.,+15.1191,+0.1184,0,F,106.625343,106.323979,106.811920,106.535439,106.815963,0.000000,0.930211,0.756600,5,10,10,0,15,20,315.84,0.00,549,3.08,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aJ_asky_980819s0370245.fits
