# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Mon Apr 26 10:46:50 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system:  2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag
0.00015547 -2.00000 8.47712 0.0936335474 1.1156111956    0.094 -2.845  3.5392  5.362    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-16      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 11.882 10.035 9.670 9.562
0.00015547 -2.00000 8.47712 0.0956507102 1.1337127686    0.095 -2.820  3.5421  5.358    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-16      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.820 9.983 9.608 9.497
0.00015547 -2.00000 8.47712 0.0981335416 1.1553233862    0.098 -2.786  3.5463  5.352    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-16      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 11.734 9.912 9.524 9.409
0.00015547 -2.00000 8.47712 0.1003665775 1.1741613150    0.100 -2.753  3.5506  5.346    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-16      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.651 9.845 9.443 9.324
0.00015547 -2.00000 8.47712 0.1030207947 1.1958558559    0.103 -2.705  3.5571  5.335    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-16      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.533 9.749 9.330 9.206
0.00015547 -2.00000 8.47712 0.1035686582 1.2002434731    0.103 -2.695  3.5586  5.334    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-16      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 11.508 9.729 9.306 9.181
0.00015547 -2.00000 8.47712 0.1057607979 1.2175023556    0.105 -2.671  3.5611  5.328    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-16      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.448 9.677 9.248 9.121
0.00015547 -2.00000 8.47712 0.1234388798 1.3415665627    0.123 -2.468  3.5820  5.277    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.83e-16      0.00 7.507e-01 2.492e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 10.940 9.241 8.765 8.623
0.00015547 -2.00000 8.47712 0.1325495541 1.3968172073    0.132 -2.396  3.5880  5.259    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.29e-16      0.00 7.506e-01 2.492e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 10.759 9.080 8.594 8.447
0.00015547 -2.00000 8.47712 0.1433091164 1.4560320377    0.143 -2.310  3.5949  5.235    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.95e-16      0.00 7.506e-01 2.493e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 10.544 8.887 8.393 8.240
