NGC 6475  Constantine et al. 

 No     X      Y      RA(1950)    Dec(1950)     muX      muY   Prob   V    U-B   B-V

0701  20.34 -16.33 17 50 59.653 -35 17 17.387 -0.0024  0.0047 0.033 12.15  0.92  1.72
0702  20.55 -19.22 17 51  0.778 -35 20 10.724  0.0049 -0.0014 0.007 11.23  0.98  1.42
0703  20.84 -16.27 17 51  2.132 -35 17 13.736  0.0149  0.0026 0.000 12.93 -0.08  0.69
0704  21.57 -18.54 17 51  5.724 -35 19 29.698  0.0038  0.0010 0.009 10.32  0.01  0.40
0705  22.19 -15.45 17 51  8.706 -35 16 23.989 -0.0098  0.0004 0.014 10.28 -0.05  0.36
0706  22.63 -16.09 17 51 10.881 -35 17  2.170  0.0074  0.0062 0.000 11.60  0.19  0.33
0707  25.96 -16.72 17 51 27.231 -35 17 38.812  0.0100 -0.0018 0.000 12.58  0.10  0.85
0708  26.91 -15.50 17 51 31.825 -35 16 25.650  0.0052  0.0003 0.006 11.29  0.01  0.53
0709  27.69 -18.44 17 51 35.730 -35 19 21.792  0.0039  0.0063 0.000 10.87  1.65  2.13
0710  29.19 -17.26 17 51 43.080 -35 18 10.330  0.0067 -0.0047 0.001 11.16  1.44  1.78
0711  29.56 -19.63 17 51 44.949 -35 20 32.349  0.0077 -0.0004 0.000 11.04  1.07  1.30
0712  31.71 -15.50 17 51 55.373 -35 16 23.857  0.0076  0.0080 0.000 12.72  0.29  0.72
0713  32.01 -15.07 17 51 56.819 -35 15 58.170  0.0059  0.0056 0.000 12.94  0.08  0.62
0714  33.75 -17.27 17 52  5.399 -35 18  9.417  0.0035  0.0024 0.000 13.44  0.14  0.75
0720  41.61 -17.37 17 52 43.955 -35 18 11.687  0.0054  0.0022 0.000 12.23  0.32  0.49
0807 -14.93 -10.25 17 48  6.928 -35 11 13.331 -0.0021  0.0047 0.000 12.27  0.31  0.41
0809  -8.63 -13.70 17 48 37.732 -35 14 41.648 -0.0008 -0.0080 0.001 12.43  0.27  0.96
0810  -7.63 -14.23 17 48 42.627 -35 15 13.417  0.0023 -0.0004 0.008 12.82  0.18  0.56
0811  -5.39 -14.06 17 48 53.622 -35 15  3.253 -0.0048 -0.0174 0.000  9.83  0.25  0.36
0812  -5.33 -13.17 17 48 53.913 -35 14  9.942  0.0030 -0.0002 0.014 10.63  0.00  0.56
0814  -4.17 -10.70 17 48 59.606 -35 11 42.064  0.0023  0.0005 0.066 10.57  0.14  0.65
0815  -0.41 -10.37 17 49 17.983 -35 11 22.424  0.0008  0.0068 0.025 12.09  0.15  0.26
0816   2.90 -11.94 17 49 34.175 -35 12 56.423 -0.0038  0.0040 0.015  8.91 -0.46  0.16
0817   3.45 -12.83 17 49 36.914 -35 13 49.565  0.0028  0.0012 0.097 10.71  0.09  0.63
0818   3.98 -11.52 17 49 39.472 -35 12 30.931  0.0044 -0.0100 0.003 12.76  0.10  0.61
0819   4.23 -13.29 17 49 40.697 -35 14 17.123  0.0038  0.0062 0.009 11.20  1.75  2.40
0820   4.40 -10.83 17 49 41.545 -35 11 49.810  0.0028  0.0036 0.095 11.63  0.03  0.21
0821   4.66 -10.74 17 49 42.793 -35 11 44.090 -0.0010 -0.0033 0.257 12.04  0.99  1.69
0822   9.82  -9.93 17 50  8.057 -35 10 55.204  0.0027 -0.0043 0.171 12.07  0.07  0.74
0823  11.28 -13.85 17 50 15.233 -35 14 50.265  0.0045 -0.0033 0.061 11.44  1.36  1.81
0824  11.48 -13.87 17 50 16.226 -35 14 51.327  0.0037  0.0054 0.019 12.03  0.08  0.85
0825  12.56 -12.75 17 50 21.526 -35 13 44.148  0.0053 -0.0057 0.031 12.30  0.25  0.86
0826  12.95 -11.76 17 50 23.415 -35 12 44.665 -0.0050  0.0045 0.190 12.29  0.27  0.36
0827  13.30 -10.76 17 50 25.101 -35 11 44.521 -0.0002 -0.0098 0.010 12.55  0.01  0.89
0828  16.71 -13.77 17 50 41.858 -35 14 44.382  0.0027  0.0020 0.104 11.25  0.24  0.43
0829  16.76 -11.33 17 50 42.021 -35 12 17.840  0.0012 -0.0052 0.139 11.52  0.20  0.49
0830  16.94 -10.76 17 50 42.902 -35 11 43.537  0.0335 -0.0392 0.000  7.26  1.22  1.18
0831  18.50 -14.82 17 50 50.619 -35 15 47.257  0.0072 -0.0005 0.012 12.33  0.12  0.79
0832  19.64 -12.71 17 50 56.155 -35 13 40.189  0.0100 -0.0005 0.003 12.87  0.23  0.92
0833  21.97 -11.51 17 51  7.533 -35 12 27.529  0.0058  0.0048 0.012 12.52  0.40  0.79
0834  22.16 -10.20 17 51  8.439 -35 11  9.061  0.0031  0.0060 0.030 11.03  1.60  2.09
0835  22.67 -13.75 17 51 11.013 -35 14 42.103 -0.0036  0.0061 0.047 10.59  0.99  1.34
0836  26.50 -12.68 17 51 29.774 -35 13 36.258  0.0075 -0.0027 0.009 11.21  1.90  2.53
0837  29.70 -11.22 17 51 45.369 -35 12  7.846  0.0073  0.0002 0.008 12.44  0.07  0.89
0838  29.88 -13.24 17 51 46.318 -35 14  8.965  0.0068  0.0048 0.001 12.24  0.32  0.43
0839  31.13 -11.88 17 51 52.386 -35 12 46.991  0.0007 -0.0012 0.057 12.28  0.67  1.36
0840  33.09 -10.18 17 52  1.953 -35 11  4.324  0.0043  0.0042 0.007 13.31  0.23  0.73
0841  39.97 -13.95 17 52 35.779 -35 14 47.026  0.0023  0.0024 0.000 10.86  0.27  0.36
0843  41.85 -10.75 17 52 44.845 -35 11 33.995  0.0075  0.0052 0.000 10.92  0.00  0.57
0847  43.21 -10.48 17 52 51.479 -35 11 17.236  0.0034 -0.0123 0.000 12.75  0.15  0.91
0909 -19.43  -8.10 17 47 44.944 -35 09  3.582 -0.0129 -0.0076 0.000 12.11  0.61  1.33
0910 -17.59  -8.50 17 47 53.927 -35 09 27.855  0.0006  0.0044 0.000 12.65  0.27  0.32
0911 -14.22  -7.40 17 48 10.447 -35 08 22.589 -0.0040  0.0129 0.000 11.12  0.16  0.50
0912 -13.83  -6.84 17 48 12.357 -35 07 48.972 -0.0025  0.0006 0.034 11.51  1.13  1.54
0913 -13.50  -9.53 17 48 13.917 -35 10 30.700 -0.0040  0.0056 0.000 12.89  0.35  0.51
0914 -12.69  -9.56 17 48 17.896 -35 10 32.312  0.0014  0.0004 0.013 11.69  0.08  0.75
0915 -11.82  -8.14 17 48 22.168 -35 09  7.647  0.0123 -0.0131 0.000 10.80  0.66  1.26
0916  -8.10  -6.46 17 48 40.376 -35 07 27.417  0.0000  0.0020 0.128 11.78  0.79  1.56
0917  -6.74  -5.04 17 48 47.035 -35 06  2.306  0.0057 -0.0050 0.026 12.13  0.27  0.94
0918  -4.90  -9.77 17 48 56.040 -35 10 46.002 -0.0003  0.0039 0.069 11.79  0.07  0.32
0920  -0.63  -8.52 17 49 16.918 -35 09 31.417 -0.0042  0.0018 0.303 12.45  0.25  1.03
0921   2.01  -5.50 17 49 29.808 -35 06 30.269 -0.0006  0.0048 0.226 10.20 -0.29  0.17
0922   3.97  -9.62 17 49 39.406 -35 10 37.395 -0.0003 -0.0061 0.109 11.25  1.70  2.09
0923   4.11  -6.68 17 49 40.110 -35 07 40.797 -0.0027  0.0000 0.486 12.56  0.20  0.49
0924   4.50  -7.96 17 49 41.996 -35 08 57.378 -0.0073 -0.0003 0.252 12.73  0.18  0.47
0925   4.54  -8.25 17 49 42.225 -35 09 15.087 -0.0011 -0.0007 0.444  8.60  0.34  0.21
0926   4.59  -5.38 17 49 42.431 -35 06 22.813  0.0018  0.0002 0.383 11.44  0.04  0.71
0927   5.47  -9.68 17 49 46.784 -35 10 40.775 -0.0003 -0.0004 0.387 12.12  0.08  0.70
0928   7.05  -5.40 17 49 54.463 -35 06 23.430  0.0024 -0.0030 0.314 10.55  0.09  0.54
0929   7.19  -9.03 17 49 55.162 -35 10  1.750  0.0042  0.0022 0.125 10.47  0.10  0.46
0930   8.30  -5.33 17 50  0.569 -35 06 19.196 -0.0001 -0.0184 0.000 13.19 -0.10  0.63
0931   8.44  -7.38 17 50  1.293 -35 08 22.348  0.0036 -0.0008 0.252 11.44  0.12  0.84
0932   9.65  -5.15 17 50  7.168 -35 06  8.494 -0.0013  0.0005 0.548  9.83  0.23  0.40
0933  11.41  -9.06 17 50 15.844 -35 10  2.563  0.0008  0.0024 0.327 13.18  0.00  0.41
0934  11.81  -8.38 17 50 17.762 -35 09 21.713  0.0086  0.0079 0.000 10.81  0.89  1.29
0935  15.92  -7.69 17 50 37.885 -35 08 39.757  0.0012  0.0023 0.331  9.74  0.16  0.32
0936  16.16  -5.44 17 50 39.015 -35 06 24.868  0.0004 -0.0035 0.389 12.27  0.14  0.82
0937  16.72  -8.20 17 50 41.806 -35 09 10.304  0.0019  0.0013 0.325  9.91  0.13  0.34
0938  19.25  -8.68 17 50 54.161 -35 09 38.791  0.0114  0.0094 0.000 11.10  0.29  0.49
0939  21.75  -9.74 17 51  6.441 -35 10 41.667  0.0060 -0.0004 0.069 12.13  0.11  0.81
0940  25.64  -5.58 17 51 25.381 -35 06 30.992 -0.0039 -0.0089 0.017 11.34  0.10  0.77
0941  26.56  -8.48 17 51 29.952 -35 09 24.617 -0.0025  0.0049 0.176 11.93  0.25  0.37
0942  26.89  -8.15 17 51 30.567 -35 09  4.495  0.0027  0.0030 0.133 11.25  0.00  0.58
0943  30.18  -7.63 17 51 47.613 -35 08 32.480  0.0015  0.0039 0.104  8.61  0.11  0.26
0944  31.09  -8.21 17 51 52.104 -35 09  6.531  0.0092 -0.0291 0.000 11.40  0.32  0.83
0945  32.26  -9.49 17 51 57.844 -35 10 23.059  0.0043  0.0021 0.027 10.01  0.18  0.29
0946  37.41  -7.92 17 52 22.988 -35 08 46.661  0.0058  0.0034 0.002 12.83  0.28  0.44
0947  42.59  -9.30 17 52 48.380 -35 10  7.020  0.0017  0.0018 0.000  9.87  2.04  2.11
0948  45.92  -8.30 17 53  4.657 -35 09  5.225  0.0094  0.0033 0.000 12.22  0.28  0.34
0988 -29.68  -0.47 17 46 55.012 -35 01 22.685  0.0014 -0.0008 0.000 12.18  0.29  0.25
0992 -20.17  -2.49 17 47 41.460 -35 03 26.844  0.0028  0.0056 0.000  7.39  0.09  0.17
0993 -20.05   0.00 17 47 42.054 -35 00 57.349 -0.0036  0.0044 0.000  9.90  0.32  0.59
0994 -19.45  -1.89 17 47 44.949 -35 02 51.190 -0.0018 -0.0046 0.000  8.91  0.28  0.61
0995 -15.97  -4.17 17 48  1.915 -35 05  8.509 -0.1538 -0.1276 0.000 12.09  0.14  0.77
0996 -15.30  -0.33 17 48  5.261 -35 01 18.577 -0.0013  0.0050 0.019  8.75  0.24  0.41
0997 -15.12  -4.51 17 48  6.068 -35 05 29.004  0.0025  0.0015 0.014 10.70  0.09  0.67
0998 -12.38  -2.71 17 48 19.508 -35 03 41.751 -0.0037 -0.0058 0.018 11.61  1.12  1.61
