ApertureRA	ApertureDec
268.464315	-34.979103
268.463976	-34.977436
268.42838	-34.978549
268.428041	-34.976604
268.421599	-34.979381
268.419904	-34.979103
268.380239	-34.978535
268.509065	-34.978252
268.539575	-34.977398
268.531099	-34.976849
268.518895	-34.977135
268.519233	-34.975746
268.514149	-34.976583
268.483637	-34.975209
268.478892	-34.976043
268.47923	-34.974932
268.403633	-34.975766
268.389734	-34.975483
268.470416	-34.975768
268.534486	-34.973513
268.462958	-34.974103
268.45889	-34.974104
268.51957	-34.973246
268.518214	-34.973247
268.517874	-34.972414
268.464314	-34.973269
268.385667	-34.972982
268.539229	-34.97101
268.538888	-34.969621
268.529397	-34.970462
268.410754	-34.969935
268.40872	-34.969379
268.411433	-34.968268
268.458889	-34.969937
268.38533	-34.969926
268.381941	-34.969924
268.451092	-34.969382
268.387704	-34.969649
268.420246	-34.968826
268.403297	-34.968544
268.402959	-34.967433
268.424652	-34.968271
268.503972	-34.967977
268.468041	-34.967157
268.410077	-34.96799
268.537529	-34.967122
268.410755	-34.966601
268.404993	-34.966044
268.529393	-34.966295
268.529053	-34.965184
268.490412	-34.966039
268.515156	-34.966027
268.481259	-34.965487
268.484649	-34.965208
268.516511	-34.965192
268.501936	-34.964923
268.388045	-34.965205
268.54295	-34.964895
268.451431	-34.964938
268.423297	-34.964659
268.421264	-34.964659
268.402282	-34.964655
268.386012	-34.964649
268.488716	-34.964095
268.467701	-34.96438
268.452448	-34.964382
268.424992	-34.964382
268.410078	-34.964379
268.512442	-34.963806
268.431432	-34.963271
268.426348	-34.963271
268.525999	-34.962408
268.520577	-34.963245
268.50329	-34.962978
268.513457	-34.961583
268.440584	-34.962161
268.43855	-34.961605
268.435161	-34.96216
268.428382	-34.961604
268.538879	-34.961843
268.538538	-34.960455
268.395505	-34.961319
268.383642	-34.961314
268.47075	-34.96049
268.473123	-34.960767
268.476851	-34.960211
268.380592	-34.960202
268.537181	-34.959622
268.478206	-34.959933
268.479562	-34.959654
268.434822	-34.959383
268.38127	-34.959369
268.513455	-34.959361
268.512099	-34.959084
268.471088	-34.958823
268.399234	-34.95882
268.422621	-34.958826
268.420587	-34.958548
268.391439	-34.958817
268.411097	-34.958546
268.49583	-34.957981
268.484984	-34.958541
268.484984	-34.95743
268.535145	-34.957679
268.507014	-34.95742
268.533789	-34.957403
268.469732	-34.957435
268.383306	-34.957147
268.377884	-34.956033
268.533109	-34.954903
268.506673	-34.954643
268.487354	-34.954374
268.434145	-34.95466
268.410082	-34.954379
268.494133	-34.954371
268.481593	-34.954376
268.473798	-34.9541
268.408048	-34.953823
268.498199	-34.953258
268.500233	-34.953535
268.498876	-34.951869
268.418894	-34.952992
268.415844	-34.95188
268.501926	-34.952423
268.461935	-34.952714
268.448379	-34.952438
268.446346	-34.952994
268.52565	-34.952131
268.529377	-34.95185
268.405677	-34.951878
268.507687	-34.951309
268.453801	-34.951049
268.483285	-34.950486
268.450412	-34.950493
268.46939	-34.949935
268.403645	-34.949377
268.434145	-34.949105
268.407034	-34.9491
268.406357	-34.947434
268.394156	-34.949096
268.380261	-34.94909
268.510735	-34.948807
268.511411	-34.947418
268.470746	-34.948823
268.451429	-34.949105
268.472779	-34.948545
268.472439	-34.946323
268.467356	-34.947991
268.382634	-34.947702
268.541911	-34.947396
268.403984	-34.947433
268.518189	-34.946858
268.46295	-34.946881
268.434823	-34.94716
268.434484	-34.945772
268.443634	-34.946605
268.415846	-34.945491
268.395174	-34.946319
268.498533	-34.946313
268.443634	-34.944938
268.530387	-34.945739
268.449734	-34.945494
268.438212	-34.946327
268.437195	-34.945216
268.383313	-34.946036
268.381619	-34.946035
268.531743	-34.945738
268.53208	-34.944348
268.484977	-34.94493
268.510393	-34.945752
268.467355	-34.945213
268.542584	-34.943785
268.541566	-34.942119
268.506665	-34.944365
268.463289	-34.944658
268.461933	-34.944103
268.421607	-34.944104
268.405341	-34.944378
268.404325	-34.943822
268.458883	-34.942715
268.440584	-34.942716
268.428385	-34.942716
268.393143	-34.942707
268.393482	-34.941318
268.523267	-34.941855
268.452106	-34.94216
268.452444	-34.940771
268.53106	-34.941294
268.506662	-34.941309
268.429741	-34.941605
268.470404	-34.941046
268.514794	-34.941027
268.509712	-34.94103
268.477858	-34.939933
268.472776	-34.94049
268.528348	-34.940462
268.509372	-34.939919
268.382979	-34.939369
268.516488	-34.940192
268.511066	-34.940196
268.412798	-34.939935
268.387384	-34.939927
268.512421	-34.939084
268.524619	-34.939076
268.470064	-34.937712
268.475824	-34.937155
268.47413	-34.937434
268.425675	-34.93716
268.461254	-34.936881
268.514113	-34.936305
268.512757	-34.936306
268.466675	-34.935769
268.521905	-34.935467
268.457526	-34.93577
268.383321	-34.935481
268.428725	-34.935216
268.427708	-34.93466
268.429403	-34.934382
268.413477	-34.934935
268.515467	-34.934915
268.450071	-34.933271
268.445328	-34.933272
268.435502	-34.933272
268.542909	-34.932673
268.541554	-34.932396
268.509366	-34.932697
268.447022	-34.932994
268.426692	-34.932993
268.461252	-34.932437
268.45617	-34.93216
268.379257	-34.932145
268.428386	-34.931882
268.410429	-34.931879
268.525966	-34.930464
268.516818	-34.93047
268.435502	-34.930494
268.539857	-34.930176
268.5385	-34.929066
268.493101	-34.930482
268.491745	-34.92965
268.482936	-34.929653
268.482935	-34.928264
268.43313	-34.929105
268.536128	-34.928512
268.529691	-34.928795
268.473449	-34.928545
268.435841	-34.927994
268.384342	-34.928259
268.484629	-34.927708
268.476497	-34.927711
268.475142	-34.927433
268.467688	-34.927157
268.464639	-34.927158
268.53782	-34.926844
268.538496	-34.925732
268.526978	-34.926574
268.488355	-34.926873
268.451765	-34.926882
268.427371	-34.926326
268.486322	-34.926596
268.399928	-34.92632
268.479207	-34.926043
268.39959	-34.925209
268.448037	-34.924383
268.426016	-34.924382
268.3857	-34.924648
268.512408	-34.924084
268.472769	-34.923823
268.504615	-34.923533
268.428049	-34.923549
268.526636	-34.923241
268.386717	-34.923815
268.382652	-34.923258
268.416192	-34.921603
268.541877	-34.920174
268.542554	-34.919062
268.451086	-34.920493
268.470396	-34.919657
268.469041	-34.919657
268.411111	-34.919657
268.381977	-34.919369
268.384349	-34.918259
268.498174	-34.918536
268.532728	-34.917681
268.503933	-34.9177
268.499529	-34.91798
268.407724	-34.917434
268.432792	-34.917716
268.424323	-34.917715
268.465652	-34.917158
268.399255	-34.916876
268.44702	-34.916327
268.444988	-34.915216
268.430083	-34.916327
268.428389	-34.915215
268.519852	-34.91519
268.462603	-34.914936
268.421953	-34.915492
268.381641	-34.914646
268.538144	-34.914344
268.523504	-34.914345
268.523578	-34.914354
268.52832	-34.913796
268.530013	-34.913517
268.492751	-34.91326
268.484621	-34.913541
268.507655	-34.91242
268.497154	-34.912703
268.488685	-34.912429
268.386385	-34.912426
268.46057	-34.911603
268.458876	-34.91077
268.543899	-34.911561
268.524591	-34.911854
268.432793	-34.911327
268.431438	-34.911327
268.432116	-34.909938
268.496137	-34.910759
268.386048	-34.910482
268.384355	-34.909925
268.384017	-34.908536
268.501217	-34.909923
268.479877	-34.909654
268.433132	-34.909383
268.434148	-34.908271
268.427035	-34.909104
268.400953	-34.909654
268.400614	-34.908543
268.478521	-34.908821
268.379952	-34.908812
268.528991	-34.90824
268.500538	-34.907979
268.499183	-34.907146
268.476489	-34.907989
268.525942	-34.907686
268.50257	-34.906867
268.380969	-34.907424
268.386727	-34.907427
268.385034	-34.907426
268.536442	-34.907401
268.538812	-34.906565
268.432455	-34.906327
268.529327	-34.905184
268.401971	-34.905488
268.400277	-34.905209
268.422971	-34.904104
268.421278	-34.902437
268.42094	-34.901048
268.517132	-34.904636
268.516115	-34.903526
268.414842	-34.904658
268.393842	-34.904374
268.526277	-34.904075
268.525937	-34.902964
268.494099	-34.903538
268.4311	-34.902716
268.503921	-34.902422
268.433471	-34.903549
268.432455	-34.902994
268.500195	-34.902424
268.499178	-34.901035
268.489696	-34.902428
268.413827	-34.902435
268.504597	-34.901033
268.51713	-34.902136
268.516113	-34.900748
268.467003	-34.90188
268.415521	-34.900769
268.522886	-34.89991
268.507306	-34.899364
268.506966	-34.898253
268.405699	-34.8991
268.502902	-34.898811
268.497145	-34.898814
268.406716	-34.898545
268.503579	-34.897422
268.441939	-34.898827
268.396555	-34.898264
268.471404	-34.897712
268.442955	-34.897994
268.456841	-34.897159
268.450406	-34.896882
268.523221	-34.896577
268.522881	-34.895466
268.453454	-34.896604
268.496127	-34.896037
268.464291	-34.894658
268.46192	-34.893547
268.45955	-34.895492
268.381994	-34.894924
268.451421	-34.894938
268.450744	-34.894105
268.451083	-34.892993
268.463952	-34.892436
268.412813	-34.894935
268.411458	-34.894935
268.410443	-34.894101
268.438213	-34.894105
268.436181	-34.893549
268.495448	-34.894093
268.405363	-34.8941
268.519832	-34.893801
268.508655	-34.892419
268.507637	-34.891031
268.441939	-34.893272
268.444648	-34.893272
268.400283	-34.892987
268.469031	-34.891879
268.468015	-34.890491
268.537779	-34.892122
268.495107	-34.891315
268.521861	-34.891578
268.452776	-34.891604
268.435166	-34.891327
268.42636	-34.891326
268.510346	-34.890752
268.444309	-34.890494
268.381997	-34.89048
268.462258	-34.890214
268.456162	-34.889382
268.455146	-34.887715
268.453791	-34.886882
268.453113	-34.885771
268.39656	-34.888819
268.395206	-34.888263
268.521181	-34.888523
268.54387	-34.888228
268.542177	-34.888229
268.541158	-34.886286
268.392497	-34.888262
268.390804	-34.888262
268.401302	-34.88771
268.468352	-34.887157
268.485623	-34.886874
268.426023	-34.886604
268.421282	-34.885492
268.399271	-34.886042
268.384033	-34.885481
268.528289	-34.885184
268.528288	-34.884073
268.520839	-34.884912
268.412139	-34.884657
268.511357	-34.884362
268.466658	-34.883269
268.465642	-34.882991
268.513388	-34.883528
268.493748	-34.88326
268.414849	-34.883824
268.459886	-34.883826
268.471737	-34.883268
268.46124	-34.88327
268.418235	-34.882436
268.502212	-34.882145
268.39013	-34.881872
268.392162	-34.881595
268.391485	-34.880484
268.433473	-34.880771
268.43178	-34.880494
268.537765	-34.880177
268.539119	-34.879621
268.502887	-34.878811
268.495438	-34.878815
268.49476	-34.877704
268.377604	-34.878533
268.471735	-34.87799
268.470042	-34.87799
268.449388	-34.877716
268.449049	-34.876049
268.384377	-34.87687
268.456498	-34.877437
268.380991	-34.877424
268.379298	-34.877145
268.42704	-34.876882
268.425686	-34.876048
268.457514	-34.876326
268.491034	-34.875483
268.47275	-34.875212
268.503561	-34.874366
268.415529	-34.87438
268.386749	-34.874649
268.387765	-34.874094
268.420608	-34.873826
268.384718	-34.873259
268.541481	-34.872952
268.541479	-34.871841
268.474103	-34.872989
268.457852	-34.872993
268.450403	-34.872716
268.514394	-34.872416
268.514054	-34.871027
268.503559	-34.871866
268.537755	-34.871844
268.471394	-34.871879
268.50559	-34.87131
268.476473	-34.8716
268.468008	-34.871602
268.54317	-34.870173
268.424333	-34.871048
268.398263	-34.869931
268.463945	-34.869658
268.459205	-34.869937
268.504911	-34.869366
268.505587	-34.867421
268.47681	-34.869377
268.4697	-34.868824
268.52624	-34.868797
268.43686	-34.869383
268.387769	-34.86826
268.404697	-34.867989
268.404697	-34.867155
268.395556	-34.867708
268.460897	-34.867714
268.428396	-34.867438
268.48595	-34.867152
268.485273	-34.866041
268.444647	-34.866883
268.443631	-34.866049
268.416208	-34.866603
268.395218	-34.865485
268.424672	-34.866326
268.51168	-34.866029
268.50457	-34.86631
268.402666	-34.865766
268.488996	-34.865484
268.473762	-34.865211
268.45548	-34.865215
268.479178	-34.864654
268.381339	-34.864368
268.391495	-34.864373
268.391157	-34.863262
268.396913	-34.862153
268.440922	-34.86216
268.411131	-34.86299
268.410116	-34.862157
268.509645	-34.862419
268.392512	-34.862151
268.514722	-34.861305
268.512013	-34.860473
268.454802	-34.860215
268.447354	-34.859938
268.4416	-34.860216
268.439907	-34.85966
268.515398	-34.859637
268.514382	-34.859083
268.483238	-34.859653
268.481883	-34.858265
268.523521	-34.858243
268.390144	-34.858539
268.39116	-34.858262
268.502533	-34.858256
268.485606	-34.85743
268.398608	-34.858264
268.397593	-34.857153
268.487638	-34.857707
268.383375	-34.856869
268.472404	-34.855767
268.53469	-34.856013
268.505239	-34.85631
268.405379	-34.855767
268.520811	-34.856301
268.427721	-34.855771
268.42569	-34.856048
268.441599	-34.854938
268.397255	-34.855486
268.39624	-34.854375
268.522841	-34.855188
268.416888	-34.855214
268.51607	-34.853804
268.501515	-34.854923
268.50016	-34.854368
268.473757	-34.854934
268.418243	-34.854381
268.399625	-34.854376
268.399964	-34.852709
268.492374	-34.853538
268.534348	-34.853235
268.40978	-34.853823
268.520808	-34.853523
268.519792	-34.852412
268.518777	-34.853524
268.415874	-34.852714
268.41892	-34.852992
268.482557	-34.851875
268.384056	-34.851036
268.496434	-34.850759
268.536376	-34.850456
268.522159	-34.850744
268.451754	-34.850216
268.415875	-34.84938
268.441261	-34.849383
268.449046	-34.848827
268.421629	-34.84827
268.41689	-34.848547
268.51471	-34.848249
268.46597	-34.847991
268.453108	-34.848271
268.452092	-34.84716
268.445999	-34.846327
268.377628	-34.847144
268.517417	-34.846581
268.473077	-34.846045
268.454123	-34.84716
268.430091	-34.846049
268.385075	-34.845759
268.392184	-34.844651
268.519784	-34.844079
268.461568	-34.844103
268.437199	-34.843549
268.463261	-34.843825
268.462245	-34.84327
268.465291	-34.842991
268.43923	-34.843272
268.492029	-34.842983
268.464275	-34.841603
268.382031	-34.84298
268.413169	-34.842713
268.50049	-34.84159
268.475783	-34.8416
268.475105	-34.839656
268.484921	-34.841319
268.382033	-34.84048
268.383386	-34.841314
268.507596	-34.840198
268.417908	-34.840492
268.476459	-34.840488
268.536025	-34.839623
268.459875	-34.839659
268.520118	-34.839912
268.442615	-34.839938
268.43923	-34.83966
268.393202	-34.839651
268.541778	-34.839341
268.440922	-34.838827
268.521132	-34.838523
268.484918	-34.836597
268.384066	-34.836314
268.508946	-34.835475
268.531621	-34.836293
268.533989	-34.835736
268.528236	-34.835462
268.393881	-34.835485
268.394897	-34.833819
268.501839	-34.835478
268.500485	-34.834923
268.493716	-34.834927
268.42434	-34.834104
268.422309	-34.834104
268.382376	-34.833258
268.542109	-34.833785
268.530264	-34.832961
268.456151	-34.833548
268.380346	-34.833535
268.513005	-34.83325
268.406404	-34.832711
268.388807	-34.832705
268.434493	-34.831605
268.378993	-34.831867
268.419941	-34.831603
268.460888	-34.831325
268.389484	-34.831594
268.50928	-34.83103
268.458858	-34.830492
268.45818	-34.828548
268.417234	-34.830769
268.493373	-34.827982
268.49236	-34.830761
268.45615	-34.830493
268.405729	-34.828822
268.4372	-34.827716
268.378658	-34.8277
268.527212	-34.827407
268.451751	-34.82716
268.449382	-34.82716
268.386441	-34.826871
268.454119	-34.826326
268.541761	-34.82573
268.415543	-34.826047
268.41622	-34.825214
268.476114	-34.824377
268.474421	-34.823545
268.512997	-34.824083
268.503522	-34.823533
268.48728	-34.82354
268.440245	-34.823272
268.439569	-34.82216
268.438554	-34.821883
268.504537	-34.823255
268.481188	-34.822431
268.515026	-34.822415
268.472052	-34.822712
268.470699	-34.822157
268.543786	-34.821839
268.54277	-34.820451
268.436185	-34.82216
268.461224	-34.821325
268.477127	-34.821044
268.508934	-34.82103
268.511301	-34.819362
268.462916	-34.820214
268.379341	-34.819645
268.529573	-34.819628
268.409793	-34.819657
268.533632	-34.818792
268.460209	-34.818826
268.418591	-34.81827
268.40641	-34.818267
268.496073	-34.817426
268.396937	-34.817153
268.386447	-34.817704
268.433817	-34.817716
268.434155	-34.816049
268.380357	-34.817424
268.37799	-34.816311
268.472388	-34.816601
268.421975	-34.816881
268.463591	-34.815769
268.40032	-34.816876
268.523479	-34.816577
268.522125	-34.8163
268.481523	-34.815487
268.458516	-34.816048
268.402012	-34.816321
268.500809	-34.815479
268.42908	-34.81466
268.486598	-34.815207
268.438554	-34.81466
268.390509	-34.815206
268.538365	-34.815177
268.537349	-34.814622
268.449042	-34.81466
268.40675	-34.814656
268.458177	-34.813548
268.437539	-34.81216
268.53836	-34.81101
268.383745	-34.81187
268.45953	-34.812159
268.439569	-34.811883
268.437877	-34.810216
268.439231	-34.810772
268.494716	-34.811037
268.384422	-34.810203
268.382731	-34.809647
268.439569	-34.809105
268.535989	-34.80879
268.522794	-34.808522
268.521102	-34.808245
268.411151	-34.80799
268.388146	-34.806594
268.45141	-34.806049
268.408445	-34.805767
268.526174	-34.805741
268.535985	-34.805456
268.477797	-34.805488
268.392883	-34.805485
268.534293	-34.805458
268.393898	-34.804929
268.428405	-34.80466
268.513318	-34.804639
268.430435	-34.804938
268.443967	-34.803827
268.389163	-34.804372
268.409799	-34.803546
268.390854	-34.803817
268.406754	-34.803545
268.528878	-34.803517
268.529215	-34.802128
268.518729	-34.802969
268.502153	-34.8027
268.490651	-34.803261
268.490312	-34.801872
268.531921	-34.801571
268.474073	-34.799934
268.47272	-34.79799
268.527183	-34.799907
268.525153	-34.799353
268.523123	-34.799355
268.403035	-34.799933
268.528197	-34.798796
268.528195	-34.797407
268.452762	-34.798827
268.489971	-34.797428
268.489632	-34.796039
268.435171	-34.797438
268.431789	-34.797438
268.405066	-34.796878
268.409463	-34.796323
268.480161	-34.796043
268.500794	-34.795479
268.501131	-34.79409
268.465615	-34.796047
268.427392	-34.795215
268.425024	-34.79466
268.538002	-34.794899
268.457835	-34.794381
268.498088	-34.794925
268.434157	-34.794383
268.430774	-34.794382
268.461556	-34.793825
268.496734	-34.793814
268.498425	-34.79298
268.393905	-34.792985
268.518043	-34.792414
268.518718	-34.791024
268.522778	-34.79241
268.454452	-34.792437
268.493012	-34.791316
268.435172	-34.791327
268.388156	-34.791316
268.52413	-34.791298
268.46629	-34.791047
268.499775	-34.789924
268.499436	-34.788535
268.390525	-34.789373
268.388495	-34.789372
268.457834	-34.789381
