Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1,268.464315,-34.979103,268.464106,-34.979037,246,12,246.617,12.238,1,+5750.42,1.0000,+222.733,D.N.,+10.4988,+0.0421,0,F,446.269806,443.329802,452.773894,443.419434,453.180864,0.000000,19.225945,8.774451,5,10,10,0,15,20,315.84,0.00,393,3.10,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aK_asky_980815s0140221.fits
2,268.463976,-34.977436,268.464112,-34.979037,247,18,246.599,12.237,1,+5741.49,1.0000,+222.713,D.N.,+10.5004,+0.0421,0,F,446.269806,443.329802,452.773894,443.447723,453.180864,0.000000,19.225945,8.774451,5,10,10,0,15,20,315.84,0.00,393,16.35,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aK_asky_980815s0140221.fits
3,268.428380,-34.978549,268.427896,-34.976862,352,14,353.426,20.072,1,+6843.57,1.0000,+129.392,D.N.,+10.3098,+0.0205,0,F,444.279465,441.611183,446.152867,443.336639,446.189848,0.000000,5.749864,4.449894,5,10,10,0,15,20,315.84,0.00,542,3.34,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aK_asky_980815s0140221.fits
4,268.428041,-34.976604,268.427877,-34.976862,353,21,353.483,20.074,1,+6852.63,1.0000,+129.427,D.N.,+10.3084,+0.0205,0,F,444.279465,441.611183,446.152867,443.302979,446.189848,0.000000,5.749864,4.449894,5,10,10,0,15,20,315.84,0.00,542,3.05,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aK_asky_980815s0140221.fits
5,268.421599,-34.979381,268.419776,-34.979197,372,11,377.377,11.662,1,+6904.99,1.0000,+115.904,D.N.,+10.3001,+0.0182,0,F,443.362122,441.000520,444.267422,443.366730,444.288125,0.000000,4.294498,3.389148,5,10,10,0,15,20,315.84,0.00,395,16.81,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aK_asky_980815s0140221.fits
6,268.419904,-34.979103,268.419804,-34.979200,377,12,377.295,11.653,1,+6867.36,1.0000,+115.741,D.N.,+10.3060,+0.0183,0,F,443.362122,441.000520,444.267422,443.362457,444.288125,0.000000,4.294498,3.389148,5,10,10,0,15,20,315.84,0.00,395,3.06,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aK_asky_980815s0140221.fits
7,268.380239,-34.978535,268.379966,-34.978514,494,14,494.808,14.076,1,+2102.70,1.0000,+82.3709,D.N.,+11.5911,+0.0425,0,F,442.562531,442.031511,443.593270,442.837128,443.608902,0.000000,3.730198,2.698700,5,10,10,0,15,20,315.84,0.00,305,3.07,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aK_asky_980815s0140221.fits
8,268.509065,-34.978252,268.508460,-34.978287,114,15,115.786,14.877,1,+2571.64,1.0000,+159.405,D.N.,+11.3725,+0.0673,0,F,443.503738,443.447407,449.839891,442.670197,450.363528,0.000000,21.735677,6.506321,5,10,10,0,15,20,315.84,0.00,446,4.50,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aK_asky_980815s0140221.fits
9,268.539575,-34.977398,268.539071,-34.977413,24,18,25.486,17.947,1,+2488.11,1.0000,+102.456,D.N.,+11.4083,+0.0447,0,F,443.620651,442.028723,447.378137,442.388031,447.520991,0.000000,11.317744,3.957275,5,10,10,0,15,20,315.84,0.00,510,3.24,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aK_asky_980815s0140221.fits
10,268.531099,-34.976849,268.530821,-34.976890,49,20,49.822,19.854,1,+6166.36,1.0000,+108.824,D.N.,+10.4229,+0.0192,0,F,443.072418,441.706240,444.689016,442.423248,444.727358,0.000000,5.845064,3.370870,5,10,10,0,15,20,315.84,0.00,543,3.14,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aK_asky_980815s0140221.fits
