Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
926,268.518688,-34.759358,268.518695,-34.759219,85,803,84.979,803.500,1,+3008.77,1.0000,+334.182,D.N.,+12.2514,+0.1206,0,F,158.799500,153.940552,172.003101,154.416107,177.184400,0.000000,42.574153,14.768872,5,10,10,0,15,20,315.84,0.00,547,15.93,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
927,268.416578,-34.759103,268.416941,-34.758950,387,804,385.924,804.549,1,+2810.79,1.0000,+77.8327,D.N.,+12.3253,+0.0301,0,F,153.522018,151.969108,154.569017,153.211670,154.633899,0.000000,4.483157,2.550397,5,10,10,0,15,20,315.84,0.00,544,3.22,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
928,268.466280,-34.758547,268.466274,-34.758346,240,806,240.018,806.723,1,+6168.63,1.0000,+150.627,D.N.,+11.4719,+0.0265,0,F,158.221085,153.556556,159.980494,154.769440,160.133898,0.000000,7.014077,5.750596,5,10,10,0,15,20,315.84,0.00,543,3.16,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
929,268.528154,-34.758240,268.530086,-34.757486,57,807,51.281,809.708,1,+19381.8,1.0000,+296.369,D.N.,+10.2289,+0.0166,0,F,157.353760,154.034552,182.041812,154.172729,219.054120,0.000000,121.952568,11.741195,5,10,10,0,15,20,315.84,0.00,552,15.87,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
930,268.419283,-34.758548,268.416955,-34.758951,379,806,385.883,804.547,1,+2772.15,1.0000,+77.5841,D.N.,+12.3404,+0.0304,0,F,153.522018,151.969108,154.569017,153.378754,154.633899,0.000000,4.483157,2.550397,5,10,10,0,15,20,315.84,0.00,544,4.04,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
931,268.530182,-34.757683,268.530113,-34.757487,51,809,51.201,809.705,1,+19395.8,1.0000,+296.393,D.N.,+10.2281,+0.0166,0,F,157.353760,154.034552,182.041812,154.128311,219.054120,0.000000,121.952568,11.741195,5,10,10,0,15,20,315.84,0.00,552,2.97,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
932,268.528828,-34.756295,268.530086,-34.757487,55,814,51.284,809.707,1,+19351.7,1.0000,+296.319,D.N.,+10.2306,+0.0166,0,F,157.353760,154.034552,182.041812,154.267822,219.054120,0.000000,121.952568,11.741195,5,10,10,0,15,20,315.84,0.00,552,6.38,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
933,268.430440,-34.757716,268.430623,-34.756415,346,809,345.460,813.681,1,+18824.3,1.0000,+182.762,D.N.,+10.2606,+0.0105,0,F,156.095917,154.876383,158.584567,154.235901,158.753090,0.000000,7.319659,5.400121,5,10,10,0,15,20,315.84,0.00,542,3.07,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
934,268.430779,-34.756049,268.430597,-34.756414,345,815,345.537,813.684,1,+18812.5,1.0000,+184.274,D.N.,+10.2613,+0.0106,0,F,156.093475,154.892287,158.595178,154.277176,158.766347,0.000000,7.377169,5.505996,5,10,10,0,15,20,315.84,0.00,543,2.98,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
935,268.445317,-34.755771,268.445360,-34.755795,302,816,301.872,815.916,1,+14527.5,1.0000,+153.660,D.N.,+10.5419,+0.0115,0,F,155.472839,154.673046,158.752909,154.713028,159.079772,0.000000,10.201897,4.267183,5,10,10,0,15,20,315.84,0.00,545,3.01,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
