# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Mon Apr 26 16:54:30 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system:  2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag
0.00024632 -1.80000 8.39794 0.0900000036 1.0816895962    0.090 -2.865  3.5275  5.319    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.933 10.059 9.662 9.548
0.00024632 -1.80000 8.39794 0.0902265310 1.0838561058    0.090 -2.863  3.5278  5.319    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.926 10.054 9.656 9.542
0.00024632 -1.80000 8.39794 0.0922786817 1.1031658649    0.092 -2.838  3.5310  5.317    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.866 10.004 9.597 9.480
0.00024632 -1.80000 8.39794 0.0945169032 1.1236000061    0.095 -2.811  3.5345  5.315    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.797 9.947 9.531 9.411
0.00024632 -1.80000 8.39794 0.0968580768 1.1443116665    0.097 -2.780  3.5386  5.311    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.721 9.884 9.457 9.334
0.00024632 -1.80000 8.39794 0.0992194489 1.1645529270    0.099 -2.746  3.5435  5.307    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.636 9.816 9.377 9.250
0.00024632 -1.80000 8.39794 0.1000000015 1.1711064577    0.100 -2.733  3.5454  5.305    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.603 9.789 9.346 9.218
0.00024632 -1.80000 8.39794 0.1085660607 1.2389218807    0.109 -2.646  3.5549  5.291    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.384 9.601 9.138 9.002
0.00024632 -1.80000 8.39794 0.1199999973 1.3193154335    0.120 -2.513  3.5688  5.257    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.64e-16      0.00 7.506e-01 2.491e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.053 9.318 8.828 8.681
0.00024632 -1.80000 8.39794 0.1400000006 1.4384527206    0.140 -2.348  3.5825  5.213    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.76e-16      0.00 7.505e-01 2.492e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 10.639 8.948 8.439 8.281
